episode,return,rolling_mean_reward
1,13.0,13.0
2,-0.01,6.495
3,18.0,10.33
4,-0.03,7.74
5,0.0,6.192
6,-0.03,5.155
7,-0.01,4.417142857142857
8,5.97,4.61125
9,15.0,5.765555555555555
10,16.0,6.789
11,-0.02,6.170000000000001
12,16.0,6.989166666666667
13,-0.04,6.4484615384615385
14,14.0,6.987857142857143
15,-0.01,6.521333333333333
16,-0.02,6.1125
17,16.0,6.694117647058824
18,-0.04,6.32
19,11.0,6.566315789473684
20,-0.02,6.237
21,-0.03,5.938571428571429
22,-0.03,5.667272727272728
23,10.0,5.855652173913044
24,0.0,5.611666666666667
25,6.0,5.6272
26,7.0,5.680000000000001
27,15.98,6.061481481481481
28,10.0,6.202142857142857
29,19.0,6.6434482758620685
30,13.0,6.855333333333333
31,13.99,7.085483870967742
32,4.99,7.0200000000000005
33,-0.04,6.806060606060606
34,-0.04,6.604705882352941
35,16.0,6.873142857142857
36,-0.04,6.681111111111111
37,-0.03,6.49972972972973
38,14.0,6.697105263157895
39,1.0,6.5510256410256416
40,15.0,6.76225
41,20.0,7.085121951219512
42,0.0,6.916428571428572
43,-0.060000000000000005,6.754186046511628
44,-0.02,6.600227272727273
45,10.0,6.675777777777778
46,12.0,6.791521739130435
47,13.99,6.944680851063829
48,19.0,7.195833333333333
49,-0.08,7.04734693877551
50,13.0,7.166399999999999
51,7.0,7.163137254901961
52,18.99,7.390576923076923
53,8.99,7.420754716981132
54,3.0,7.3388888888888895
55,-0.03,7.204909090909091
56,-0.02,7.075892857142857
57,-0.01,6.9515789473684215
58,4.0,6.900689655172414
59,3.98,6.851186440677966
60,-0.03,6.7365
61,14.98,6.871639344262295
62,18.0,7.051129032258065
63,-0.03,6.938730158730158
64,-0.03,6.82984375
65,16.0,6.970923076923077
66,18.99,7.153030303030303
67,6.0,7.1358208955223885
68,-0.04,7.030294117647059
69,18.0,7.189275362318841
70,-0.01,7.086428571428572
71,2.0,7.014788732394367
72,-0.04,6.916805555555555
73,-0.060000000000000005,6.821232876712329
74,16.99,6.958648648648648
75,-0.05,6.8652
76,9.98,6.906184210526316
77,-0.03,6.816103896103897
78,-0.03,6.728333333333333
79,6.0,6.719113924050633
80,7.0,6.722624999999999
81,16.0,6.8371604938271595
82,17.0,6.961097560975609
83,6.0,6.949518072289156
84,17.97,7.0807142857142855
85,-0.02,6.9971764705882356
86,-0.05,6.915232558139535
87,17.0,7.0311494252873565
88,-0.04,6.950795454545454
89,0.0,6.872696629213483
90,0.0,6.796333333333333
91,7.0,6.798571428571428
92,15.0,6.8877173913043475
93,12.97,6.9531182795698925
94,21.0,7.102553191489362
95,-0.03,7.027473684210526
96,14.0,7.100104166666667
97,16.0,7.191855670103093
98,8.0,7.2001020408163265
99,-0.02,7.127171717171717
100,-0.04,7.055499999999999
101,-0.060000000000000005,6.9249
102,17.0,7.095
103,0.0,6.915
104,10.96,7.0249
105,12.0,7.1449
106,20.0,7.3452
107,15.0,7.495299999999999
108,-0.02,7.4354
109,17.0,7.4554
110,7.0,7.365399999999999
