update,total_calls,failed_calls,ratio,avg_latency_ms
0,129,31,0.24031007751937986,253.14600000000044
1,257,66,0.25680933852140075,253.14600000000044
2,385,86,0.22337662337662337,253.14600000000044
3,513,92,0.1793372319688109,253.14600000000044
4,641,98,0.15288611544461778,253.14600000000044
5,769,110,0.14304291287386217,253.14600000000044
6,897,120,0.13377926421404682,253.14600000000044
7,1025,138,0.13463414634146342,253.14600000000044
8,1153,151,0.13096270598438856,253.14600000000044
9,1281,165,0.1288056206088993,253.14600000000044
10,1409,178,0.1263307310149042,253.14600000000044
11,1537,191,0.12426805465191933,253.14600000000044
12,1665,210,0.12612612612612611,253.14600000000044
13,1793,230,0.12827663134411602,253.14600000000044
14,1921,255,0.13274336283185842,253.14600000000044
15,2049,272,0.13274768179599805,253.14600000000044
16,2177,295,0.13550757923748277,253.14600000000044
17,2305,319,0.1383947939262473,253.14600000000044
18,2433,341,0.14015618577887382,253.14600000000044
19,2561,363,0.14174150722374074,253.14600000000044
20,2689,385,0.14317590182223874,253.14600000000044
21,2817,401,0.14235001774937878,253.14600000000044
22,2945,418,0.14193548387096774,253.14600000000044
23,3073,430,0.13992840872111942,253.14600000000044
24,3201,448,0.1399562636676039,253.14600000000044
25,3329,466,0.1399819765695404,253.14600000000044
26,3457,493,0.14260919872722014,253.14600000000044
27,3585,512,0.14281729428172943,253.14600000000044
28,3713,536,0.14435766226770805,253.14600000000044
29,3841,566,0.14735745899505337,253.14600000000044
30,3969,586,0.14764424288233813,253.14600000000044
31,4097,606,0.14791310715157432,253.14600000000044
32,4225,631,0.1493491124260355,253.14600000000044
33,4353,651,0.14955203308063406,253.14600000000044
34,4481,665,0.14840437402365544,253.14600000000044
35,4609,698,0.15144282924712518,253.14600000000044
36,4737,710,0.14988389275913025,253.14600000000044
37,4865,735,0.1510791366906475,253.14600000000044
38,4993,749,0.1500100140196275,253.14600000000044
39,5121,766,0.1495801601249756,253.14600000000044
40,5249,791,0.15069537054677082,253.14600000000044
41,5377,811,0.15082759903291798,253.14600000000044
42,5505,818,0.1485921889191644,253.14600000000044
43,5633,841,0.14929877507544825,253.14600000000044
44,5761,879,0.15257767748654746,253.14600000000044
45,5889,907,0.15401596196298184,253.14600000000044
46,6017,928,0.15422968256606281,253.14600000000044
47,6145,944,0.15362082994304313,253.14600000000044
48,6273,970,0.15463095807428662,253.14600000000044
49,6401,991,0.1548195594438369,253.14600000000044
50,6529,1014,0.15530709143819882,253.14600000000044
51,6657,1042,0.156526964097942,253.14600000000044
52,6785,1065,0.156963890935888,253.14600000000044
53,6913,1086,0.1570953276435701,253.14600000000044
54,7041,1098,0.15594375798892202,253.14600000000044
55,7169,1127,0.1572046310503557,253.14600000000044
56,7297,1162,0.15924352473619297,253.14600000000044
57,7425,1195,0.16094276094276094,253.14600000000044
58,7553,1223,0.16192241493446313,253.14600000000044
59,7681,1257,0.1636505663325088,253.14600000000044
60,7809,1294,0.16570623639390447,253.14600000000044
61,7937,1333,0.16794758724959052,253.14600000000044
