episode,return,rolling_mean_reward
1,0.0,0.0
2,-0.01,-0.005
3,0.0,-0.0033333333333333335
4,0.0,-0.0025
5,0.0,-0.002
6,0.0,-0.0016666666666666668
7,17.0,2.427142857142857
8,5.99,2.8725
9,0.0,2.5533333333333332
10,16.0,3.8979999999999997
11,-0.02,3.541818181818182
12,16.0,4.58
13,-0.02,4.226153846153846
14,14.0,4.924285714285714
15,0.0,4.596
16,0.0,4.30875
17,16.0,4.996470588235294
18,-0.01,4.718333333333334
19,-0.01,4.469473684210526
20,0.0,4.246
21,-0.01,4.043333333333333
22,0.0,3.8595454545454544
23,0.0,3.6917391304347826
24,0.0,3.5379166666666664
25,0.0,3.3964
26,7.0,3.5349999999999997
27,0.0,3.404074074074074
28,0.0,3.2824999999999998
29,19.0,3.8244827586206895
30,-0.01,3.6966666666666668
31,0.0,3.57741935483871
32,0.0,3.465625
33,12.0,3.7242424242424246
34,22.0,4.261764705882353
35,0.0,4.140000000000001
36,-0.01,4.024722222222222
37,0.0,3.9159459459459454
38,0.0,3.812894736842105
39,0.0,3.7151282051282046
40,15.0,3.9972499999999997
41,-0.02,3.899268292682927
42,7.0,3.973095238095238
43,-0.01,3.88046511627907
44,0.0,3.7922727272727275
45,0.0,3.708
46,0.0,3.6273913043478263
47,-0.02,3.549787234042553
48,-0.01,3.4756250000000004
49,-0.01,3.404489795918367
50,13.0,3.5964
51,7.0,3.6631372549019607
52,-0.02,3.5923076923076924
53,0.0,3.5245283018867926
54,3.0,3.514814814814815
55,0.98,3.4687272727272727
56,0.0,3.4067857142857143
57,-0.01,3.3468421052631583
58,0.0,3.289137931034483
59,0.0,3.2333898305084747
60,-0.02,3.1791666666666667
61,-0.01,3.1268852459016396
62,0.0,3.076451612903226
63,0.0,3.027619047619048
64,0.0,2.9803125
65,0.0,2.9344615384615387
66,0.0,2.89
67,6.0,2.9364179104477612
68,0.0,2.8932352941176473
69,0.0,2.851304347826087
70,12.0,2.982
71,-0.01,2.9398591549295774
72,0.0,2.8990277777777775
73,0.0,2.8593150684931508
74,-0.01,2.8205405405405406
75,0.0,2.7829333333333333
76,0.0,2.7463157894736843
77,0.0,2.7106493506493505
78,0.0,2.675897435897436
79,0.0,2.642025316455696
80,7.0,2.6965
81,15.99,2.860617283950617
82,-0.01,2.825609756097561
83,6.0,2.863855421686747
84,0.0,2.8297619047619045
85,0.0,2.796470588235294
86,0.0,2.763953488372093
87,0.0,2.7321839080459767
88,-0.01,2.7010227272727274
89,0.0,2.6706741573033708
90,0.0,2.641
91,0.0,2.6119780219780218
92,-0.01,2.5834782608695654
93,12.98,2.695268817204301
94,0.0,2.666595744680851
95,-0.01,2.6384210526315792
96,0.0,2.6109375
97,16.0,2.748969072164948
98,8.0,2.802551020408163
99,0.0,2.774242424242424
100,0.0,2.7464999999999997
101,0.0,2.7464999999999997
102,0.0,2.7466000000000004
103,0.0,2.7466000000000004
104,0.0,2.7466000000000004
105,0.0,2.7466000000000004
106,20.0,2.9466
107,15.0,2.9266
108,10.98,2.9764999999999997
109,17.0,3.1464999999999996
110,0.0,2.9865
111,5.0,3.0367
112,-0.02,2.8764999999999996
113,8.99,2.9666
114,0.0,2.8266000000000004
115,-0.02,2.8264
116,-0.02,2.8262
117,0.0,2.6662
118,0.0,2.6663
119,0.0,2.6664
120,-0.01,2.6663
121,24.0,2.9063999999999997
122,10.0,3.0063999999999997
123,-0.01,3.0063
124,-0.01,3.0062
125,0.0,3.0062
126,0.0,2.9362
127,11.0,3.0462000000000002
128,0.0,3.0462000000000002
129,0.0,2.8562
130,15.0,3.0063
131,-0.01,3.0062
132,21.0,3.2162
133,11.0,3.2062
134,-0.01,2.9861
135,6.0,3.0461
136,0.0,3.0462000000000002
137,0.0,3.0462000000000002
138,0.0,3.0462000000000002
139,15.0,3.1962
140,0.0,3.0462000000000002
141,5.0,3.0964
142,14.0,3.1664
143,17.0,3.3364999999999996
144,0.0,3.3364999999999996
145,0.0,3.3364999999999996
146,0.0,3.3364999999999996
147,0.0,3.3367
148,-0.01,3.3367
149,-0.01,3.3367
150,-0.01,3.2066000000000003
151,-0.03,3.1363
152,-0.01,3.1364
153,6.99,3.2063
154,0.0,3.1763
155,8.0,3.2464999999999997
156,12.0,3.3665
157,20.0,3.5666
158,0.0,3.5666
159,13.0,3.6966
160,0.0,3.6968
161,0.0,3.6969
162,0.0,3.6969
163,-0.01,3.6968
164,0.0,3.6968
165,0.0,3.6968
166,0.0,3.6968
167,0.0,3.6368
168,25.0,3.8868
169,8.0,3.9668
170,12.0,3.9668
171,0.0,3.9669
172,-0.01,3.9668
173,13.0,4.0968
174,0.0,4.0969
175,0.0,4.0969
176,13.0,4.2269
177,0.0,4.2269
