step,total_calls,failed_calls,ratio,avg_latency_ms,hint_source
0,129,0,0.0,0.027000000000000038,random
1,257,0,0.0,0.0060000000000000045,random
2,385,0,0.0,0.007000000000000005,random
3,513,0,0.0,0.007000000000000005,random
4,641,0,0.0,0.0060000000000000045,random
5,769,0,0.0,0.007000000000000005,random
6,897,0,0.0,0.007000000000000005,random
7,1025,0,0.0,0.007000000000000005,random
8,1153,0,0.0,0.007000000000000005,random
9,1281,0,0.0,0.007000000000000005,random
10,1409,0,0.0,0.007000000000000005,random
11,1537,0,0.0,0.007000000000000005,random
12,1665,0,0.0,0.007000000000000005,random
13,1793,0,0.0,0.0060000000000000045,random
14,1921,0,0.0,0.0060000000000000045,random
15,2049,0,0.0,0.007000000000000005,random
16,2177,0,0.0,0.007000000000000005,random
17,2305,0,0.0,0.0060000000000000045,random
18,2433,0,0.0,0.0060000000000000045,random
19,2561,0,0.0,0.0060000000000000045,random
20,2689,0,0.0,0.007000000000000005,random
21,2817,0,0.0,0.0060000000000000045,random
22,2945,0,0.0,0.007000000000000005,random
23,3073,0,0.0,0.007000000000000005,random
24,3201,0,0.0,0.0060000000000000045,random
25,3329,0,0.0,0.007000000000000005,random
26,3457,0,0.0,0.007000000000000005,random
27,3585,0,0.0,0.007000000000000005,random
28,3713,0,0.0,0.008000000000000005,random
29,3841,0,0.0,0.007000000000000005,random
30,3969,0,0.0,0.0060000000000000045,random
31,4097,0,0.0,0.0060000000000000045,random
32,4225,0,0.0,0.0060000000000000045,random
33,4353,0,0.0,0.007000000000000005,random
34,4481,0,0.0,0.0060000000000000045,random
35,4609,0,0.0,0.007000000000000005,random
36,4737,0,0.0,0.007000000000000005,random
37,4865,0,0.0,0.007000000000000005,random
38,4993,0,0.0,0.0060000000000000045,random
39,5121,0,0.0,0.017999999999999985,random
40,5249,0,0.0,0.007000000000000005,random
41,5377,0,0.0,0.0060000000000000045,random
42,5505,0,0.0,0.008000000000000005,random
43,5633,0,0.0,0.008999999999999992,random
44,5761,0,0.0,0.0060000000000000045,random
45,5889,0,0.0,0.007000000000000005,random
46,6017,0,0.0,0.007000000000000005,random
47,6145,0,0.0,0.008000000000000005,random
48,6273,0,0.0,0.008000000000000005,random
49,6401,0,0.0,0.0060000000000000045,random
50,6529,0,0.0,0.0060000000000000045,random
51,6657,0,0.0,0.007000000000000005,random
52,6785,0,0.0,0.007000000000000005,random
53,6913,0,0.0,0.007000000000000005,random
54,7041,0,0.0,0.0060000000000000045,random
55,7169,0,0.0,0.007000000000000005,random
56,7297,0,0.0,0.007000000000000005,random
57,7425,0,0.0,0.007000000000000005,random
58,7553,0,0.0,0.007000000000000005,random
59,7681,0,0.0,0.010000000000000007,random
60,7809,0,0.0,0.007000000000000005,random
