episode,return,rolling_mean_return_100,step
1,0.0,0.0,1
2,0.0,0.0,2
3,0.0,0.0,3
4,0.0,0.0,4
5,7.0,1.4,5
6,0.0,1.1666666666666667,6
7,18.0,3.5714285714285716,7
8,22.0,5.875,8
9,0.0,5.222222222222222,9
10,2.0,4.9,10
11,0.0,4.454545454545454,11
12,25.0,6.166666666666667,12
13,0.0,5.6923076923076925,13
14,0.0,5.285714285714286,14
15,3.0,5.133333333333334,15
16,0.0,4.8125,16
17,0.0,4.529411764705882,17
18,15.0,5.111111111111111,18
19,8.0,5.2631578947368425,19
20,0.0,5.0,20
21,0.0,4.761904761904762,21
22,17.0,5.318181818181818,22
23,0.0,5.086956521739131,23
24,0.0,4.875,24
25,0.0,4.68,25
26,0.0,4.5,26
27,0.0,4.333333333333333,27
28,0.0,4.178571428571429,28
29,12.0,4.448275862068965,29
30,0.0,4.3,30
31,18.0,4.741935483870968,31
32,7.0,4.8125,32
33,10.0,4.96969696969697,33
34,0.0,4.823529411764706,34
35,0.0,4.685714285714286,35
36,0.0,4.555555555555555,36
37,1.0,4.45945945945946,37
38,0.0,4.342105263157895,38
39,13.0,4.564102564102564,39
40,0.0,4.45,40
41,0.0,4.341463414634147,41
42,0.0,4.238095238095238,42
43,8.0,4.325581395348837,43
44,0.0,4.2272727272727275,44
45,0.0,4.133333333333334,45
46,19.0,4.456521739130435,46
47,0.0,4.361702127659575,47
48,11.0,4.5,48
49,0.0,4.408163265306122,49
50,0.0,4.32,50
51,0.0,4.235294117647059,51
52,0.0,4.153846153846154,52
53,15.0,4.3584905660377355,53
54,0.0,4.277777777777778,54
55,0.0,4.2,55
56,0.0,4.125,56
57,0.0,4.052631578947368,57
58,0.0,3.9827586206896552,58
59,0.0,3.9152542372881354,59
60,0.0,3.85,60
61,0.0,3.7868852459016393,61
62,0.0,3.725806451612903,62
63,0.0,3.6666666666666665,63
64,8.0,3.734375,64
65,0.0,3.6769230769230767,65
66,0.0,3.621212121212121,66
67,0.0,3.5671641791044775,67
68,18.0,3.7794117647058822,68
69,0.0,3.7246376811594204,69
70,0.0,3.6714285714285713,70
71,0.0,3.619718309859155,71
72,0.0,3.5694444444444446,72
73,19.0,3.780821917808219,73
74,0.0,3.72972972972973,74
75,0.0,3.68,75
76,17.0,3.8552631578947367,76
77,9.0,3.9220779220779223,77
78,0.0,3.871794871794872,78
79,0.0,3.8227848101265822,79
80,0.0,3.775,80
81,0.0,3.728395061728395,81
82,0.0,3.682926829268293,82
83,19.0,3.8674698795180724,83
84,7.0,3.9047619047619047,84
85,0.0,3.8588235294117648,85
86,10.0,3.9302325581395348,86
87,0.0,3.8850574712643677,87
88,0.0,3.840909090909091,88
89,0.0,3.797752808988764,89
90,0.0,3.7555555555555555,90
91,12.0,3.8461538461538463,91
92,0.0,3.8043478260869565,92
93,0.0,3.763440860215054,93
94,0.0,3.723404255319149,94
95,0.0,3.6842105263157894,95
96,4.0,3.6875,96
97,16.0,3.814432989690722,97
98,24.0,4.020408163265306,98
99,14.0,4.121212121212121,99
100,0.0,4.08,100
101,0.0,4.08,101
102,11.0,4.19,102
103,0.0,4.19,103
104,17.0,4.36,104
105,0.0,4.29,105
106,10.0,4.39,106
107,0.0,4.21,107
108,0.0,3.99,108
109,0.0,3.99,109
110,0.0,3.97,110
111,17.0,4.14,111
112,0.0,3.89,112
113,0.0,3.89,113
114,0.0,3.89,114
115,1.0,3.87,115
116,17.0,4.04,116
117,0.0,4.04,117
118,0.0,3.89,118
119,0.0,3.81,119
120,0.0,3.81,120
121,0.0,3.81,121
122,17.0,3.81,122
123,0.0,3.81,123
124,0.0,3.81,124
125,7.0,3.88,125
126,0.0,3.88,126
127,4.0,3.92,127
128,0.0,3.92,128
129,0.0,3.8,129
130,0.0,3.8,130
131,13.0,3.75,131
132,0.0,3.68,132
133,0.0,3.58,133
134,0.0,3.58,134
135,0.0,3.58,135
136,0.0,3.58,136
137,8.0,3.65,137
138,0.0,3.65,138
139,0.0,3.52,139
140,15.0,3.67,140
141,0.0,3.67,141
142,0.0,3.67,142
143,0.0,3.59,143
144,0.0,3.59,144
145,0.0,3.59,145
146,9.0,3.49,146
147,0.0,3.49,147
148,0.0,3.38,148
149,0.0,3.38,149
150,0.0,3.38,150
151,1.0,3.39,151
152,9.0,3.48,152
153,0.0,3.33,153
154,24.0,3.57,154
155,0.0,3.57,155
156,12.0,3.69,156
157,20.0,3.89,157
158,0.0,3.89,158
159,4.0,3.93,159
160,0.0,3.93,160
161,0.0,3.93,161
162,18.0,4.11,162
163,0.0,4.11,163
164,0.0,4.03,164
165,0.0,4.03,165
166,0.0,4.03,166
167,14.0,4.17,167
168,0.0,3.99,168
169,0.0,3.99,169
170,0.0,3.99,170
171,0.0,3.99,171
172,0.0,3.99,172
173,0.0,3.8,173
174,9.0,3.89,174
175,6.0,3.95,175
176,0.0,3.78,176
177,0.0,3.69,177
178,16.0,3.85,178
179,9.0,3.94,179
180,7.0,4.01,180
181,3.0,4.04,181
182,0.0,4.04,182
183,0.0,3.85,183
184,23.0,4.01,184
185,0.0,4.01,185
186,0.0,3.91,186
187,0.0,3.91,187
188,0.0,3.91,188
189,0.0,3.91,189
190,0.0,3.91,190
191,0.0,3.79,191
192,1.0,3.8,192
193,0.0,3.8,193
194,0.0,3.8,194
195,0.0,3.8,195
196,22.0,3.98,196
197,0.0,3.82,197
198,0.0,3.58,198
199,0.0,3.44,199
200,0.0,3.44,200
201,0.0,3.44,201
202,0.0,3.33,202
203,0.0,3.33,203
204,0.0,3.16,204
205,0.0,3.16,205
206,0.0,3.06,206
207,0.0,3.06,207
208,0.0,3.06,208
209,0.0,3.06,209
210,25.0,3.31,210
211,2.0,3.16,211
212,19.0,3.35,212
213,0.0,3.35,213
214,0.0,3.35,214
215,0.0,3.34,215
216,5.0,3.22,216
217,0.0,3.22,217
218,0.0,3.22,218
219,0.0,3.22,219
220,9.0,3.31,220
221,11.0,3.42,221
222,9.0,3.34,222
223,0.0,3.34,223
224,0.0,3.34,224
225,0.0,3.27,225
226,0.0,3.27,226
227,0.0,3.23,227
228,20.0,3.43,228
229,0.0,3.43,229
230,17.0,3.6,230
231,0.0,3.47,231
232,7.0,3.54,232
233,19.0,3.73,233
234,0.0,3.73,234
235,0.0,3.73,235
236,0.0,3.73,236
237,0.0,3.65,237
238,19.0,3.84,238
239,15.0,3.99,239
240,0.0,3.84,240
241,0.0,3.84,241
242,0.0,3.84,242
243,19.0,4.03,243
244,0.0,4.03,244
245,0.0,4.03,245
246,0.0,3.94,246
247,0.0,3.94,247
248,0.0,3.94,248
249,21.0,4.15,249
250,0.0,4.15,250
251,0.0,4.14,251
252,1.0,4.06,252
253,0.0,4.06,253
254,3.0,3.85,254
255,0.0,3.85,255
256,0.0,3.73,256
257,0.0,3.53,257
258,1.0,3.54,258
259,0.0,3.5,259
260,0.0,3.5,260
261,0.0,3.5,261
262,24.0,3.56,262
263,0.0,3.56,263
264,14.0,3.7,264
265,0.0,3.7,265
266,14.0,3.84,266
267,0.0,3.7,267
268,0.0,3.7,268
269,6.0,3.76,269
270,0.0,3.76,270
271,9.0,3.85,271
272,0.0,3.85,272
273,2.0,3.87,273
274,0.0,3.78,274
275,12.0,3.84,275
276,0.0,3.84,276
277,0.0,3.84,277
278,0.0,3.68,278
279,0.0,3.59,279
280,10.0,3.62,280
281,0.0,3.59,281
282,0.0,3.59,282
283,0.0,3.59,283
284,0.0,3.36,284
285,15.0,3.51,285
286,0.0,3.51,286
287,0.0,3.51,287
288,0.0,3.51,288
289,0.0,3.51,289
290,0.0,3.51,290
291,0.0,3.51,291
292,0.0,3.5,292
293,18.0,3.68,293
294,0.0,3.68,294
295,0.0,3.68,295
296,19.0,3.65,296
297,27.0,3.92,297
298,0.0,3.92,298
299,0.0,3.92,299
300,0.0,3.92,300
301,0.0,3.92,301
302,0.0,3.92,302
303,3.0,3.95,303
304,15.0,4.1,304
305,0.0,4.1,305
306,0.0,4.1,306
307,18.0,4.28,307
308,0.0,4.28,308
309,11.0,4.39,309
310,0.0,4.14,310
311,0.0,4.12,311
312,0.0,3.93,312
313,0.0,3.93,313
314,7.0,4.0,314
315,0.0,4.0,315
316,2.0,3.97,316
317,19.0,4.16,317
318,0.0,4.16,318
319,17.0,4.33,319
320,0.0,4.24,320
321,0.0,4.13,321
322,0.0,4.04,322
323,25.0,4.29,323
324,0.0,4.29,324
325,9.0,4.38,325
326,0.0,4.38,326
327,0.0,4.38,327
328,0.0,4.18,328
329,0.0,4.18,329
330,13.0,4.14,330
331,0.0,4.14,331
332,0.0,4.07,332
333,28.0,4.16,333
334,0.0,4.16,334
335,0.0,4.16,335
336,0.0,4.16,336
337,17.0,4.33,337
338,13.0,4.27,338
339,15.0,4.27,339
340,6.0,4.33,340
341,0.0,4.33,341
342,0.0,4.33,342
343,0.0,4.14,343
344,0.0,4.14,344
345,18.0,4.32,345
346,0.0,4.32,346
347,0.0,4.32,347
348,0.0,4.32,348
349,16.0,4.27,349
350,14.0,4.41,350
351,13.0,4.54,351
352,13.0,4.66,352
353,0.0,4.66,353
354,0.0,4.63,354
355,0.0,4.63,355
356,0.0,4.63,356
357,15.0,4.78,357
358,0.0,4.77,358
359,15.0,4.92,359
360,0.0,4.92,360
361,0.0,4.92,361
362,13.0,4.81,362
363,21.0,5.02,363
364,0.0,4.88,364
365,0.0,4.88,365
366,0.0,4.74,366
367,0.0,4.74,367
368,8.0,4.82,368
369,0.0,4.76,369
370,8.0,4.84,370
371,0.0,4.75,371
372,0.0,4.75,372
373,16.0,4.89,373
374,0.0,4.89,374
375,0.0,4.77,375
376,0.0,4.77,376
377,15.0,4.92,377
378,0.0,4.92,378
379,0.0,4.92,379
380,0.0,4.82,380
381,0.0,4.82,381
382,0.0,4.82,382
383,0.0,4.82,383
384,0.0,4.82,384
385,0.0,4.67,385
386,0.0,4.67,386
387,11.0,4.78,387
388,0.0,4.78,388
389,0.0,4.78,389
390,0.0,4.78,390
391,0.0,4.78,391
392,0.0,4.78,392
393,23.0,4.83,393
394,1.0,4.84,394
395,0.0,4.84,395
396,0.0,4.65,396
397,13.0,4.51,397
398,11.0,4.62,398
399,0.0,4.62,399
400,0.0,4.62,400
401,15.0,4.77,401
402,0.0,4.77,402
403,9.0,4.83,403
404,0.0,4.68,404
405,0.0,4.68,405
406,0.0,4.68,406
407,0.0,4.5,407
408,0.0,4.5,408
409,0.0,4.39,409
410,0.0,4.39,410
411,18.0,4.57,411
412,0.0,4.57,412
413,0.0,4.57,413
414,0.0,4.5,414
415,11.0,4.61,415
416,0.0,4.59,416
417,0.0,4.4,417
418,0.0,4.4,418
419,0.0,4.23,419
420,1.0,4.24,420
421,0.0,4.24,421
422,12.0,4.36,422
423,0.0,4.11,423
424,17.0,4.28,424
425,0.0,4.19,425
426,0.0,4.19,426
427,0.0,4.19,427
428,0.0,4.19,428
429,14.0,4.33,429
430,0.0,4.2,430
431,22.0,4.42,431
432,0.0,4.42,432
433,0.0,4.14,433
434,8.0,4.22,434
435,0.0,4.22,435
436,0.0,4.22,436
437,1.0,4.06,437
438,0.0,3.93,438
439,0.0,3.78,439
440,0.0,3.72,440
441,0.0,3.72,441
442,16.0,3.88,442
443,0.0,3.88,443
444,0.0,3.88,444
445,0.0,3.7,445
446,0.0,3.7,446
447,0.0,3.7,447
448,0.0,3.7,448
449,0.0,3.54,449
450,0.0,3.4,450
451,7.0,3.34,451
452,18.0,3.39,452
453,0.0,3.39,453
454,0.0,3.39,454
455,0.0,3.39,455
456,0.0,3.39,456
457,0.0,3.24,457
458,0.0,3.24,458
459,7.0,3.16,459
460,0.0,3.16,460
461,13.0,3.29,461
462,0.0,3.16,462
463,6.0,3.01,463
464,0.0,3.01,464
465,0.0,3.01,465
466,0.0,3.01,466
467,0.0,3.01,467
468,0.0,2.93,468
469,0.0,2.93,469
470,0.0,2.85,470
471,0.0,2.85,471
472,0.0,2.85,472
473,0.0,2.69,473
474,9.0,2.78,474
475,15.0,2.93,475
476,0.0,2.93,476
477,0.0,2.78,477
478,0.0,2.78,478
479,0.0,2.78,479
480,0.0,2.78,480
481,0.0,2.78,481
482,0.0,2.78,482
483,13.0,2.91,483
484,21.0,3.12,484
485,0.0,3.12,485
486,0.0,3.12,486
487,16.0,3.17,487
488,0.0,3.17,488
489,0.0,3.17,489
490,0.0,3.17,490
491,0.0,3.17,491
492,0.0,3.17,492
493,0.0,2.94,493
494,0.0,2.93,494
495,0.0,2.93,495
496,0.0,2.93,496
497,7.0,2.87,497
498,0.0,2.76,498
499,0.0,2.76,499
500,17.0,2.93,500
501,10.0,2.88,501
502,0.0,2.88,502
503,0.0,2.79,503
504,0.0,2.79,504
505,0.0,2.79,505
506,14.0,2.93,506
507,14.0,3.07,507
508,0.0,3.07,508
509,0.0,3.07,509
510,0.0,3.07,510
511,0.0,2.89,511
512,0.0,2.89,512
513,0.0,2.89,513
514,0.0,2.89,514
515,10.0,2.88,515
516,12.0,3.0,516
517,0.0,3.0,517
518,0.0,3.0,518
519,0.0,3.0,519
520,0.0,2.99,520
521,0.0,2.99,521
522,0.0,2.87,522
523,28.0,3.15,523
524,15.0,3.13,524
525,17.0,3.3,525
