episode,return,rolling_mean_return_100,step
1,0.0,0.0,1
2,0.0,0.0,2
3,0.0,0.0,3
4,0.0,0.0,4
5,7.0,1.4,5
6,0.0,1.1666666666666667,6
7,18.0,3.5714285714285716,7
8,22.0,5.875,8
9,0.0,5.222222222222222,9
10,2.0,4.9,10
11,0.0,4.454545454545454,11
12,25.0,6.166666666666667,12
13,0.0,5.6923076923076925,13
14,0.0,5.285714285714286,14
15,3.0,5.133333333333334,15
16,0.0,4.8125,16
17,0.0,4.529411764705882,17
18,15.0,5.111111111111111,18
19,8.0,5.2631578947368425,19
20,0.0,5.0,20
21,0.0,4.761904761904762,21
22,17.0,5.318181818181818,22
23,0.0,5.086956521739131,23
24,0.0,4.875,24
25,0.0,4.68,25
26,0.0,4.5,26
27,0.0,4.333333333333333,27
28,0.0,4.178571428571429,28
29,12.0,4.448275862068965,29
30,0.0,4.3,30
31,18.0,4.741935483870968,31
32,7.0,4.8125,32
33,10.0,4.96969696969697,33
34,0.0,4.823529411764706,34
35,0.0,4.685714285714286,35
36,0.0,4.555555555555555,36
37,1.0,4.45945945945946,37
38,0.0,4.342105263157895,38
39,13.0,4.564102564102564,39
40,0.0,4.45,40
41,0.0,4.341463414634147,41
42,0.0,4.238095238095238,42
43,8.0,4.325581395348837,43
44,0.0,4.2272727272727275,44
45,0.0,4.133333333333334,45
46,19.0,4.456521739130435,46
47,0.0,4.361702127659575,47
48,11.0,4.5,48
49,0.0,4.408163265306122,49
50,0.0,4.32,50
51,0.0,4.235294117647059,51
52,0.0,4.153846153846154,52
53,15.0,4.3584905660377355,53
54,0.0,4.277777777777778,54
55,0.0,4.2,55
56,0.0,4.125,56
57,0.0,4.052631578947368,57
58,0.0,3.9827586206896552,58
59,0.0,3.9152542372881354,59
60,0.0,3.85,60
61,0.0,3.7868852459016393,61
62,0.0,3.725806451612903,62
63,0.0,3.6666666666666665,63
64,8.0,3.734375,64
65,0.0,3.6769230769230767,65
66,0.0,3.621212121212121,66
67,0.0,3.5671641791044775,67
68,18.0,3.7794117647058822,68
69,0.0,3.7246376811594204,69
70,0.0,3.6714285714285713,70
71,0.0,3.619718309859155,71
72,0.0,3.5694444444444446,72
73,19.0,3.780821917808219,73
74,0.0,3.72972972972973,74
75,0.0,3.68,75
76,17.0,3.8552631578947367,76
77,9.0,3.9220779220779223,77
78,0.0,3.871794871794872,78
79,0.0,3.8227848101265822,79
80,0.0,3.775,80
81,0.0,3.728395061728395,81
82,25.0,3.9878048780487805,82
83,19.0,4.168674698795181,83
84,7.0,4.2023809523809526,84
85,7.0,4.235294117647059,85
86,0.0,4.186046511627907,86
87,19.0,4.35632183908046,87
88,0.0,4.306818181818182,88
89,19.0,4.47191011235955,89
90,0.0,4.4222222222222225,90
91,12.0,4.5054945054945055,91
92,0.0,4.456521739130435,92
93,0.0,4.408602150537634,93
94,0.0,4.361702127659575,94
95,19.0,4.515789473684211,95
96,4.0,4.510416666666667,96
97,16.0,4.628865979381444,97
98,0.0,4.581632653061225,98
99,0.0,4.5353535353535355,99
100,0.0,4.49,100
101,0.0,4.49,101
102,0.0,4.49,102
103,0.0,4.49,103
104,17.0,4.66,104
105,7.0,4.66,105
106,0.0,4.66,106
107,15.0,4.63,107
108,0.0,4.41,108
109,0.0,4.41,109
110,0.0,4.39,110
111,0.0,4.39,111
112,13.0,4.27,112
113,0.0,4.27,113
114,4.0,4.31,114
115,0.0,4.28,115
116,17.0,4.45,116
117,0.0,4.45,117
118,0.0,4.3,118
119,21.0,4.43,119
120,0.0,4.43,120
121,0.0,4.43,121
122,17.0,4.43,122
123,18.0,4.61,123
124,0.0,4.61,124
125,0.0,4.61,125
126,0.0,4.61,126
127,0.0,4.61,127
128,0.0,4.61,128
129,0.0,4.49,129
130,0.0,4.49,130
131,0.0,4.31,131
132,14.0,4.38,132
133,14.0,4.42,133
134,0.0,4.42,134
135,0.0,4.42,135
136,0.0,4.42,136
137,8.0,4.49,137
138,0.0,4.49,138
139,0.0,4.36,139
140,0.0,4.36,140
141,5.0,4.41,141
142,0.0,4.41,142
143,0.0,4.33,143
144,0.0,4.33,144
145,12.0,4.45,145
146,9.0,4.35,146
147,0.0,4.35,147
148,0.0,4.24,148
149,0.0,4.24,149
150,0.0,4.24,150
151,1.0,4.25,151
152,9.0,4.34,152
153,11.0,4.3,153
154,24.0,4.54,154
155,0.0,4.54,155
156,12.0,4.66,156
157,20.0,4.86,157
158,0.0,4.86,158
159,4.0,4.9,159
160,0.0,4.9,160
161,0.0,4.9,161
162,18.0,5.08,162
163,0.0,5.08,163
164,0.0,5.0,164
165,0.0,5.0,165
166,0.0,5.0,166
167,14.0,5.14,167
168,0.0,4.96,168
169,0.0,4.96,169
170,0.0,4.96,170
171,0.0,4.96,171
172,0.0,4.96,172
173,0.0,4.77,173
174,9.0,4.86,174
175,6.0,4.92,175
176,0.0,4.75,176
177,0.0,4.66,177
178,16.0,4.82,178
179,9.0,4.91,179
180,7.0,4.98,180
181,3.0,5.01,181
182,0.0,4.76,182
183,0.0,4.57,183
184,23.0,4.73,184
185,0.0,4.66,185
186,0.0,4.66,186
187,8.0,4.55,187
188,0.0,4.55,188
189,0.0,4.36,189
190,0.0,4.36,190
191,19.0,4.43,191
192,1.0,4.44,192
193,0.0,4.44,193
194,0.0,4.44,194
195,15.0,4.4,195
196,22.0,4.58,196
197,0.0,4.42,197
198,0.0,4.42,198
199,0.0,4.42,199
200,16.0,4.58,200
201,0.0,4.58,201
202,0.0,4.58,202
203,0.0,4.58,203
204,0.0,4.41,204
205,0.0,4.34,205
206,0.0,4.34,206
207,0.0,4.19,207
208,0.0,4.19,208
209,0.0,4.19,209
210,25.0,4.44,210
211,2.0,4.46,211
212,19.0,4.52,212
213,0.0,4.52,213
214,0.0,4.48,214
215,16.0,4.64,215
216,0.0,4.47,216
217,0.0,4.47,217
218,0.0,4.47,218
219,0.0,4.26,219
220,0.0,4.26,220
221,0.0,4.26,221
222,9.0,4.18,222
223,0.0,4.0,223
224,0.0,4.0,224
225,0.0,4.0,225
226,6.0,4.06,226
227,22.0,4.28,227
228,20.0,4.48,228
229,0.0,4.48,229
230,0.0,4.48,230
231,7.0,4.55,231
232,0.0,4.41,232
233,0.0,4.27,233
234,0.0,4.27,234
235,0.0,4.27,235
236,0.0,4.27,236
237,9.0,4.28,237
238,0.0,4.28,238
239,0.0,4.28,239
240,0.0,4.28,240
241,0.0,4.23,241
242,0.0,4.23,242
243,0.0,4.23,243
244,0.0,4.23,244
245,0.0,4.11,245
246,0.0,4.02,246
247,0.0,4.02,247
248,0.0,4.02,248
249,21.0,4.23,249
250,12.0,4.35,250
251,0.0,4.34,251
252,0.0,4.25,252
253,0.0,4.14,253
254,0.0,3.9,254
255,11.0,4.01,255
256,0.0,3.89,256
257,24.0,3.93,257
258,0.0,3.93,258
259,0.0,3.89,259
260,0.0,3.89,260
261,0.0,3.89,261
262,24.0,3.95,262
263,21.0,4.16,263
264,14.0,4.3,264
265,0.0,4.3,265
266,14.0,4.44,266
267,0.0,4.3,267
268,0.0,4.3,268
269,0.0,4.3,269
270,0.0,4.3,270
271,9.0,4.39,271
272,0.0,4.39,272
273,0.0,4.39,273
274,0.0,4.3,274
275,12.0,4.36,275
276,0.0,4.36,276
277,0.0,4.36,277
278,0.0,4.2,278
279,10.0,4.21,279
280,0.0,4.14,280
281,0.0,4.11,281
282,16.0,4.27,282
283,0.0,4.27,283
284,0.0,4.04,284
285,0.0,4.04,285
286,13.0,4.17,286
287,0.0,4.09,287
288,12.0,4.21,288
289,0.0,4.21,289
290,0.0,4.21,290
291,0.0,4.02,291
292,0.0,4.01,292
293,18.0,4.19,293
294,0.0,4.19,294
295,0.0,4.04,295
296,19.0,4.01,296
297,27.0,4.28,297
298,0.0,4.28,298
299,0.0,4.28,299
300,23.0,4.35,300
301,0.0,4.35,301
302,0.0,4.35,302
303,0.0,4.35,303
304,0.0,4.35,304
305,0.0,4.35,305
306,0.0,4.35,306
307,18.0,4.53,307
308,0.0,4.53,308
309,11.0,4.64,309
310,0.0,4.39,310
311,0.0,4.37,311
312,16.0,4.34,312
313,0.0,4.34,313
314,7.0,4.41,314
315,0.0,4.25,315
316,2.0,4.27,316
317,0.0,4.27,317
318,0.0,4.27,318
319,17.0,4.44,319
320,0.0,4.44,320
321,0.0,4.44,321
322,13.0,4.48,322
323,25.0,4.73,323
324,0.0,4.73,324
325,0.0,4.73,325
326,14.0,4.81,326
327,0.0,4.59,327
328,0.0,4.39,328
329,0.0,4.39,329
330,0.0,4.39,330
331,0.0,4.32,331
332,0.0,4.32,332
333,28.0,4.6,333
334,0.0,4.6,334
335,25.0,4.85,335
336,0.0,4.85,336
337,0.0,4.76,337
338,0.0,4.76,338
339,15.0,4.91,339
340,0.0,4.91,340
341,0.0,4.91,341
342,0.0,4.91,342
343,0.0,4.91,343
344,0.0,4.91,344
345,0.0,4.91,345
346,0.0,4.91,346
347,0.0,4.91,347
348,0.0,4.91,348
349,16.0,4.86,349
350,0.0,4.74,350
351,0.0,4.74,351
352,13.0,4.87,352
353,0.0,4.87,353
354,0.0,4.87,354
355,15.0,4.91,355
356,0.0,4.91,356
357,15.0,4.82,357
358,0.0,4.82,358
359,0.0,4.82,359
360,0.0,4.82,360
361,0.0,4.82,361
362,13.0,4.71,362
363,0.0,4.5,363
364,0.0,4.36,364
365,0.0,4.36,365
366,11.0,4.33,366
367,0.0,4.33,367
368,0.0,4.33,368
369,0.0,4.33,369
370,0.0,4.33,370
371,10.0,4.34,371
372,0.0,4.34,372
373,16.0,4.5,373
374,23.0,4.73,374
375,0.0,4.61,375
376,0.0,4.61,376
377,15.0,4.76,377
378,2.0,4.78,378
379,0.0,4.68,379
380,6.0,4.74,380
381,0.0,4.74,381
382,0.0,4.58,382
383,0.0,4.58,383
384,0.0,4.58,384
385,0.0,4.58,385
386,0.0,4.45,386
387,0.0,4.45,387
388,0.0,4.33,388
389,0.0,4.33,389
390,0.0,4.33,390
391,0.0,4.33,391
392,0.0,4.33,392
393,23.0,4.38,393
394,1.0,4.39,394
395,0.0,4.39,395
396,0.0,4.2,396
397,13.0,4.06,397
398,11.0,4.17,398
399,0.0,4.17,399
400,0.0,3.94,400
401,15.0,4.09,401
402,0.0,4.09,402
403,0.0,4.09,403
404,0.0,4.09,404
405,0.0,4.09,405
406,0.0,4.09,406
407,0.0,3.91,407
408,0.0,3.91,408
409,0.0,3.8,409
410,0.0,3.8,410
411,18.0,3.98,411
412,0.0,3.82,412
413,8.0,3.9,413
414,0.0,3.83,414
415,11.0,3.94,415
416,0.0,3.92,416
417,0.0,3.92,417
418,0.0,3.92,418
419,16.0,3.91,419
420,1.0,3.92,420
421,0.0,3.92,421
422,12.0,3.91,422
423,0.0,3.66,423
424,17.0,3.83,424
425,9.0,3.92,425
426,0.0,3.78,426
427,0.0,3.78,427
428,0.0,3.78,428
429,14.0,3.92,429
430,0.0,3.92,430
431,22.0,4.14,431
432,11.0,4.25,432
433,0.0,3.97,433
434,8.0,4.05,434
435,0.0,3.8,435
436,0.0,3.8,436
437,1.0,3.81,437
438,0.0,3.81,438
439,0.0,3.66,439
440,0.0,3.66,440
441,0.0,3.66,441
442,16.0,3.82,442
443,0.0,3.82,443
444,0.0,3.82,444
445,0.0,3.82,445
446,0.0,3.82,446
447,0.0,3.82,447
448,0.0,3.82,448
449,0.0,3.66,449
450,0.0,3.66,450
451,7.0,3.73,451
452,18.0,3.78,452
453,0.0,3.78,453
454,2.0,3.8,454
455,0.0,3.65,455
456,14.0,3.79,456
457,0.0,3.64,457
458,0.0,3.64,458
459,7.0,3.71,459
460,9.0,3.8,460
461,13.0,3.93,461
462,0.0,3.8,462
463,6.0,3.86,463
464,0.0,3.86,464
465,0.0,3.86,465
466,0.0,3.75,466
467,0.0,3.75,467
468,0.0,3.75,468
469,0.0,3.75,469
470,0.0,3.75,470
471,0.0,3.65,471
472,0.0,3.65,472
473,0.0,3.49,473
474,9.0,3.35,474
475,15.0,3.5,475
476,0.0,3.5,476
477,0.0,3.35,477
478,0.0,3.33,478
479,0.0,3.33,479
480,0.0,3.27,480
481,0.0,3.27,481
482,0.0,3.27,482
483,13.0,3.4,483
484,21.0,3.61,484
485,0.0,3.61,485
486,0.0,3.61,486
487,16.0,3.77,487
488,0.0,3.77,488
489,0.0,3.77,489
490,0.0,3.77,490
491,0.0,3.77,491
492,0.0,3.77,492
493,20.0,3.74,493
494,0.0,3.73,494
495,0.0,3.73,495
496,0.0,3.73,496
497,7.0,3.67,497
498,0.0,3.56,498
499,0.0,3.56,499
500,17.0,3.73,500
501,10.0,3.68,501
502,0.0,3.68,502
503,0.0,3.68,503
504,0.0,3.68,504
505,0.0,3.68,505
506,14.0,3.82,506
507,14.0,3.96,507
508,0.0,3.96,508
509,0.0,3.96,509
510,0.0,3.96,510
511,0.0,3.78,511
512,0.0,3.78,512
513,0.0,3.7,513
514,0.0,3.7,514
515,10.0,3.69,515
516,12.0,3.81,516
517,0.0,3.81,517
518,0.0,3.81,518
519,0.0,3.65,519
520,0.0,3.64,520
521,0.0,3.64,521
522,0.0,3.52,522
523,28.0,3.8,523
524,15.0,3.78,524
525,17.0,3.86,525
