step,total_calls,failed_calls,ratio,avg_latency_ms,hint_source
1,2,0,0.0,0.0,random
2,3,0,0.0,0.0,random
3,4,0,0.0,0.0,random
4,5,0,0.0,0.0,random
5,7,0,0.0,0.0,random
6,8,0,0.0,0.0,random
7,9,0,0.0,0.0,random
8,12,0,0.0,0.0,random
9,15,0,0.0,0.0,random
10,20,0,0.0,0.0,random
11,22,0,0.0,0.0,random
12,24,0,0.0,0.0,random
13,29,0,0.0,0.0,random
14,33,0,0.0,0.0,random
15,36,0,0.0,0.0,random
16,41,0,0.0,0.0,random
17,43,0,0.0,0.0,random
18,45,0,0.0,0.0,random
19,46,0,0.0,0.0,random
20,51,0,0.0,0.0,random
21,53,0,0.0,0.0,random
22,58,0,0.0,0.0,random
23,60,0,0.0,0.0,random
24,63,0,0.0,0.0,random
25,67,0,0.0,0.0,random
26,68,0,0.0,0.0,random
27,72,0,0.0,0.0,random
28,73,0,0.0,0.0,random
29,75,0,0.0,0.0,random
30,76,0,0.0,0.0,random
31,81,0,0.0,0.0,random
32,84,0,0.0,0.0,random
33,85,0,0.0,0.0,random
34,88,0,0.0,0.0,random
35,89,0,0.0,0.0,random
36,91,0,0.0,0.0,random
37,93,0,0.0,0.0,random
38,94,0,0.0,0.0,random
39,95,0,0.0,0.0,random
40,98,0,0.0,0.0,random
41,103,0,0.0,0.0,random
42,108,0,0.0,0.0,random
43,111,0,0.0,0.0,random
44,113,0,0.0,0.0,random
45,114,0,0.0,0.0,random
46,116,0,0.0,0.0,random
47,117,0,0.0,0.0,random
48,119,0,0.0,0.0,random
49,120,0,0.0,0.0,random
50,121,0,0.0,0.0,random
51,123,0,0.0,0.0,random
52,125,0,0.0,0.0,random
53,126,0,0.0,0.0,random
54,127,0,0.0,0.0,random
55,128,0,0.0,0.0,random
56,129,0,0.0,0.0,random
57,131,0,0.0,0.0,random
58,132,0,0.0,0.0,random
59,133,0,0.0,0.0,random
60,135,0,0.0,0.0,random
61,136,0,0.0,0.0,random
62,137,0,0.0,0.0,random
63,139,0,0.0,0.0,random
64,141,0,0.0,0.0,random
65,145,0,0.0,0.0,random
66,147,0,0.0,0.0,random
67,150,0,0.0,0.0,random
68,152,0,0.0,0.0,random
69,153,0,0.0,0.0,random
70,155,0,0.0,0.0,random
71,156,0,0.0,0.0,random
72,157,0,0.0,0.0,random
73,158,0,0.0,0.0,random
74,159,0,0.0,0.0,random
75,160,0,0.0,0.0,random
76,161,0,0.0,0.0,random
77,162,0,0.0,0.0,random
78,165,0,0.0,0.0,random
79,168,0,0.0,0.0,random
80,172,0,0.0,0.0,random
81,173,0,0.0,0.0,random
82,174,0,0.0,0.0,random
83,175,0,0.0,0.0,random
84,176,0,0.0,0.0,random
85,178,0,0.0,0.0,random
86,179,0,0.0,0.0,random
87,180,0,0.0,0.0,random
88,181,0,0.0,0.0,random
89,182,0,0.0,0.0,random
90,183,0,0.0,0.0,random
91,184,0,0.0,0.0,random
92,185,0,0.0,0.0,random
93,186,0,0.0,0.0,random
94,187,0,0.0,0.0,random
95,189,0,0.0,0.0,random
96,190,0,0.0,0.0,random
97,192,0,0.0,0.0,random
98,193,0,0.0,0.0,random
99,194,0,0.0,0.0,random
100,196,0,0.0,0.0,random
101,199,0,0.0,0.0,random
102,201,0,0.0,0.0,random
103,202,0,0.0,0.0,random
104,204,0,0.0,0.0,random
105,205,0,0.0,0.0,random
106,207,0,0.0,0.0,random
107,208,0,0.0,0.0,random
108,209,0,0.0,0.0,random
109,210,0,0.0,0.0,random
110,211,0,0.0,0.0,random
111,212,0,0.0,0.0,random
112,214,0,0.0,0.0,random
113,215,0,0.0,0.0,random
114,216,0,0.0,0.0,random
115,217,0,0.0,0.0,random
116,218,0,0.0,0.0,random
117,219,0,0.0,0.0,random
118,221,0,0.0,0.0,random
119,222,0,0.0,0.0,random
120,223,0,0.0,0.0,random
121,224,0,0.0,0.0,random
122,225,0,0.0,0.0,random
123,226,0,0.0,0.0,random
124,227,0,0.0,0.0,random
125,228,0,0.0,0.0,random
126,229,0,0.0,0.0,random
127,232,0,0.0,0.0,random
128,233,0,0.0,0.0,random
129,234,0,0.0,0.0,random
130,235,0,0.0,0.0,random
131,236,0,0.0,0.0,random
132,237,0,0.0,0.0,random
133,238,0,0.0,0.0,random
134,240,0,0.0,0.0,random
135,241,0,0.0,0.0,random
136,242,0,0.0,0.0,random
137,243,0,0.0,0.0,random
138,244,0,0.0,0.0,random
139,245,0,0.0,0.0,random
140,246,0,0.0,0.0,random
141,247,0,0.0,0.0,random
142,248,0,0.0,0.0,random
143,250,0,0.0,0.0,random
144,251,0,0.0,0.0,random
145,252,0,0.0,0.0,random
146,253,0,0.0,0.0,random
147,254,0,0.0,0.0,random
148,255,0,0.0,0.0,random
149,256,0,0.0,0.0,random
150,257,0,0.0,0.0,random
151,258,0,0.0,0.0,random
152,260,0,0.0,0.0,random
153,261,0,0.0,0.0,random
154,263,0,0.0,0.0,random
155,264,0,0.0,0.0,random
156,265,0,0.0,0.0,random
157,266,0,0.0,0.0,random
158,267,0,0.0,0.0,random
159,268,0,0.0,0.0,random
160,269,0,0.0,0.0,random
161,270,0,0.0,0.0,random
162,271,0,0.0,0.0,random
163,272,0,0.0,0.0,random
164,273,0,0.0,0.0,random
165,274,0,0.0,0.0,random
166,275,0,0.0,0.0,random
167,276,0,0.0,0.0,random
168,277,0,0.0,0.0,random
169,278,0,0.0,0.0,random
170,279,0,0.0,0.0,random
171,280,0,0.0,0.0,random
172,281,0,0.0,0.0,random
173,282,0,0.0,0.0,random
174,283,0,0.0,0.0,random
175,284,0,0.0,0.0,random
176,286,0,0.0,0.0,random
177,287,0,0.0,0.0,random
178,288,0,0.0,0.0,random
179,289,0,0.0,0.0,random
180,290,0,0.0,0.0,random
181,291,0,0.0,0.0,random
182,292,0,0.0,0.0,random
183,293,0,0.0,0.0,random
184,294,0,0.0,0.0,random
185,295,0,0.0,0.0,random
186,296,0,0.0,0.0,random
187,297,0,0.0,0.0,random
188,298,0,0.0,0.0,random
189,300,0,0.0,0.0,random
190,301,0,0.0,0.0,random
191,302,0,0.0,0.0,random
192,303,0,0.0,0.0,random
193,304,0,0.0,0.0,random
194,305,0,0.0,0.0,random
195,306,0,0.0,0.0,random
196,307,0,0.0,0.0,random
197,308,0,0.0,0.0,random
198,309,0,0.0,0.0,random
199,310,0,0.0,0.0,random
200,311,0,0.0,0.0,random
201,312,0,0.0,0.0,random
202,313,0,0.0,0.0,random
203,314,0,0.0,0.0,random
204,315,0,0.0,0.0,random
205,316,0,0.0,0.0,random
206,317,0,0.0,0.0,random
207,318,0,0.0,0.0,random
208,319,0,0.0,0.0,random
209,320,0,0.0,0.0,random
210,323,0,0.0,0.0,random
211,324,0,0.0,0.0,random
212,325,0,0.0,0.0,random
213,326,0,0.0,0.0,random
214,327,0,0.0,0.0,random
215,328,0,0.0,0.0,random
216,329,0,0.0,0.0,random
217,330,0,0.0,0.0,random
218,331,0,0.0,0.0,random
219,332,0,0.0,0.0,random
220,333,0,0.0,0.0,random
221,334,0,0.0,0.0,random
222,335,0,0.0,0.0,random
223,336,0,0.0,0.0,random
224,337,0,0.0,0.0,random
225,338,0,0.0,0.0,random
226,339,0,0.0,0.0,random
227,340,0,0.0,0.0,random
228,341,0,0.0,0.0,random
229,342,0,0.0,0.0,random
230,343,0,0.0,0.0,random
231,344,0,0.0,0.0,random
232,345,0,0.0,0.0,random
233,346,0,0.0,0.0,random
234,347,0,0.0,0.0,random
235,348,0,0.0,0.0,random
236,349,0,0.0,0.0,random
237,350,0,0.0,0.0,random
238,351,0,0.0,0.0,random
239,352,0,0.0,0.0,random
240,353,0,0.0,0.0,random
241,354,0,0.0,0.0,random
242,355,0,0.0,0.0,random
243,356,0,0.0,0.0,random
244,357,0,0.0,0.0,random
245,358,0,0.0,0.0,random
246,359,0,0.0,0.0,random
247,360,0,0.0,0.0,random
248,361,0,0.0,0.0,random
249,362,0,0.0,0.0,random
250,363,0,0.0,0.0,random
251,364,0,0.0,0.0,random
252,365,0,0.0,0.0,random
253,366,0,0.0,0.0,random
254,367,0,0.0,0.0,random
255,369,0,0.0,0.0,random
256,370,0,0.0,0.0,random
257,371,0,0.0,0.0,random
258,372,0,0.0,0.0,random
259,373,0,0.0,0.0,random
260,374,0,0.0,0.0,random
261,375,0,0.0,0.0,random
262,376,0,0.0,0.0,random
263,377,0,0.0,0.0,random
264,378,0,0.0,0.0,random
265,379,0,0.0,0.0,random
266,380,0,0.0,0.0,random
267,381,0,0.0,0.0,random
268,382,0,0.0,0.0,random
269,383,0,0.0,0.0,random
270,384,0,0.0,0.0,random
271,385,0,0.0,0.0,random
272,386,0,0.0,0.0,random
273,387,0,0.0,0.0,random
274,389,0,0.0,0.0,random
275,390,0,0.0,0.0,random
276,391,0,0.0,0.0,random
277,392,0,0.0,0.0,random
278,393,0,0.0,0.0,random
279,394,0,0.0,0.0,random
280,395,0,0.0,0.0,random
281,396,0,0.0,0.0,random
282,397,0,0.0,0.0,random
283,398,0,0.0,0.0,random
284,399,0,0.0,0.0,random
285,400,0,0.0,0.0,random
286,401,0,0.0,0.0,random
287,402,0,0.0,0.0,random
288,403,0,0.0,0.0,random
289,404,0,0.0,0.0,random
290,405,0,0.0,0.0,random
291,406,0,0.0,0.0,random
292,407,0,0.0,0.0,random
293,408,0,0.0,0.0,random
294,409,0,0.0,0.0,random
295,410,0,0.0,0.0,random
296,411,0,0.0,0.0,random
297,412,0,0.0,0.0,random
298,413,0,0.0,0.0,random
299,414,0,0.0,0.0,random
300,415,0,0.0,0.0,random
301,418,0,0.0,0.0,random
302,419,0,0.0,0.0,random
303,420,0,0.0,0.0,random
304,422,0,0.0,0.0,random
305,423,0,0.0,0.0,random
306,424,0,0.0,0.0,random
307,425,0,0.0,0.0,random
308,426,0,0.0,0.0,random
309,427,0,0.0,0.0,random
310,428,0,0.0,0.0,random
311,429,0,0.0,0.0,random
312,430,0,0.0,0.0,random
313,431,0,0.0,0.0,random
314,432,0,0.0,0.0,random
315,433,0,0.0,0.0,random
316,435,0,0.0,0.0,random
317,436,0,0.0,0.0,random
318,437,0,0.0,0.0,random
319,438,0,0.0,0.0,random
320,439,0,0.0,0.0,random
321,440,0,0.0,0.0,random
322,441,0,0.0,0.0,random
323,442,0,0.0,0.0,random
324,443,0,0.0,0.0,random
325,444,0,0.0,0.0,random
326,445,0,0.0,0.0,random
327,446,0,0.0,0.0,random
328,447,0,0.0,0.0,random
329,448,0,0.0,0.0,random
330,449,0,0.0,0.0,random
331,450,0,0.0,0.0,random
332,451,0,0.0,0.0,random
333,452,0,0.0,0.0,random
334,454,0,0.0,0.0,random
335,455,0,0.0,0.0,random
336,456,0,0.0,0.0,random
337,458,0,0.0,0.0,random
338,459,0,0.0,0.0,random
339,460,0,0.0,0.0,random
340,461,0,0.0,0.0,random
341,462,0,0.0,0.0,random
342,463,0,0.0,0.0,random
343,464,0,0.0,0.0,random
344,465,0,0.0,0.0,random
345,466,0,0.0,0.0,random
346,467,0,0.0,0.0,random
347,468,0,0.0,0.0,random
348,469,0,0.0,0.0,random
349,470,0,0.0,0.0,random
350,471,0,0.0,0.0,random
351,472,0,0.0,0.0,random
352,473,0,0.0,0.0,random
353,474,0,0.0,0.0,random
354,475,0,0.0,0.0,random
355,476,0,0.0,0.0,random
356,477,0,0.0,0.0,random
357,478,0,0.0,0.0,random
358,479,0,0.0,0.0,random
359,480,0,0.0,0.0,random
360,481,0,0.0,0.0,random
361,482,0,0.0,0.0,random
362,483,0,0.0,0.0,random
363,484,0,0.0,0.0,random
364,485,0,0.0,0.0,random
365,486,0,0.0,0.0,random
366,487,0,0.0,0.0,random
367,488,0,0.0,0.0,random
368,489,0,0.0,0.0,random
369,491,0,0.0,0.0,random
370,492,0,0.0,0.0,random
371,493,0,0.0,0.0,random
372,494,0,0.0,0.0,random
373,495,0,0.0,0.0,random
374,496,0,0.0,0.0,random
375,497,0,0.0,0.0,random
376,498,0,0.0,0.0,random
377,499,0,0.0,0.0,random
378,500,0,0.0,0.0,random
379,501,0,0.0,0.0,random
380,502,0,0.0,0.0,random
381,503,0,0.0,0.0,random
382,504,0,0.0,0.0,random
383,505,0,0.0,0.0,random
384,506,0,0.0,0.0,random
385,507,0,0.0,0.0,random
386,508,0,0.0,0.0,random
387,509,0,0.0,0.0,random
388,510,0,0.0,0.0,random
389,511,0,0.0,0.0,random
390,512,0,0.0,0.0,random
391,513,0,0.0,0.0,random
392,514,0,0.0,0.0,random
393,515,0,0.0,0.0,random
394,516,0,0.0,0.0,random
395,517,0,0.0,0.0,random
396,518,0,0.0,0.0,random
397,519,0,0.0,0.0,random
398,520,0,0.0,0.0,random
399,521,0,0.0,0.0,random
400,523,0,0.0,0.0,random
401,524,0,0.0,0.0,random
402,525,0,0.0,0.0,random
403,526,0,0.0,0.0,random
404,527,0,0.0,0.0,random
405,528,0,0.0,0.0,random
406,529,0,0.0,0.0,random
407,530,0,0.0,0.0,random
408,531,0,0.0,0.0,random
409,532,0,0.0,0.0,random
410,533,0,0.0,0.0,random
411,534,0,0.0,0.0,random
412,535,0,0.0,0.0,random
413,536,0,0.0,0.0,random
414,537,0,0.0,0.0,random
415,538,0,0.0,0.0,random
416,539,0,0.0,0.0,random
417,540,0,0.0,0.0,random
418,541,0,0.0,0.0,random
419,542,0,0.0,0.0,random
420,543,0,0.0,0.0,random
421,544,0,0.0,0.0,random
422,545,0,0.0,0.0,random
423,546,0,0.0,0.0,random
424,547,0,0.0,0.0,random
425,548,0,0.0,0.0,random
426,549,0,0.0,0.0,random
427,550,0,0.0,0.0,random
428,551,0,0.0,0.0,random
429,552,0,0.0,0.0,random
430,553,0,0.0,0.0,random
431,554,0,0.0,0.0,random
432,555,0,0.0,0.0,random
433,556,0,0.0,0.0,random
434,557,0,0.0,0.0,random
435,558,0,0.0,0.0,random
436,559,0,0.0,0.0,random
437,560,0,0.0,0.0,random
438,561,0,0.0,0.0,random
439,562,0,0.0,0.0,random
440,563,0,0.0,0.0,random
441,564,0,0.0,0.0,random
442,565,0,0.0,0.0,random
443,566,0,0.0,0.0,random
444,567,0,0.0,0.0,random
445,568,0,0.0,0.0,random
446,569,0,0.0,0.0,random
447,570,0,0.0,0.0,random
448,571,0,0.0,0.0,random
449,572,0,0.0,0.0,random
450,573,0,0.0,0.0,random
451,574,0,0.0,0.0,random
452,575,0,0.0,0.0,random
453,576,0,0.0,0.0,random
454,577,0,0.0,0.0,random
455,578,0,0.0,0.0,random
456,579,0,0.0,0.0,random
457,580,0,0.0,0.0,random
458,581,0,0.0,0.0,random
459,582,0,0.0,0.0,random
460,583,0,0.0,0.0,random
461,584,0,0.0,0.0,random
462,585,0,0.0,0.0,random
463,586,0,0.0,0.0,random
464,587,0,0.0,0.0,random
465,588,0,0.0,0.0,random
466,589,0,0.0,0.0,random
467,590,0,0.0,0.0,random
468,591,0,0.0,0.0,random
469,592,0,0.0,0.0,random
470,593,0,0.0,0.0,random
471,594,0,0.0,0.0,random
472,595,0,0.0,0.0,random
473,596,0,0.0,0.0,random
474,597,0,0.0,0.0,random
475,598,0,0.0,0.0,random
476,599,0,0.0,0.0,random
477,600,0,0.0,0.0,random
478,601,0,0.0,0.0,random
479,602,0,0.0,0.0,random
480,603,0,0.0,0.0,random
481,604,0,0.0,0.0,random
482,605,0,0.0,0.0,random
483,606,0,0.0,0.0,random
484,607,0,0.0,0.0,random
485,608,0,0.0,0.0,random
486,609,0,0.0,0.0,random
487,610,0,0.0,0.0,random
488,611,0,0.0,0.0,random
489,612,0,0.0,0.0,random
490,613,0,0.0,0.0,random
491,614,0,0.0,0.0,random
492,615,0,0.0,0.0,random
493,616,0,0.0,0.0,random
494,617,0,0.0,0.0,random
495,618,0,0.0,0.0,random
496,619,0,0.0,0.0,random
497,620,0,0.0,0.0,random
498,621,0,0.0,0.0,random
499,622,0,0.0,0.0,random
500,623,0,0.0,0.0,random
501,624,0,0.0,0.0,random
502,625,0,0.0,0.0,random
503,626,0,0.0,0.0,random
504,627,0,0.0,0.0,random
505,629,0,0.0,0.0,random
506,630,0,0.0,0.0,random
507,631,0,0.0,0.0,random
508,632,0,0.0,0.0,random
509,633,0,0.0,0.0,random
510,634,0,0.0,0.0,random
511,635,0,0.0,0.0,random
512,636,0,0.0,0.0,random
513,637,0,0.0,0.0,random
514,638,0,0.0,0.0,random
515,639,0,0.0,0.0,random
516,640,0,0.0,0.0,random
517,641,0,0.0,0.0,random
518,642,0,0.0,0.0,random
519,643,0,0.0,0.0,random
520,644,0,0.0,0.0,random
521,645,0,0.0,0.0,random
522,646,0,0.0,0.0,random
523,647,0,0.0,0.0,random
524,648,0,0.0,0.0,random
525,649,0,0.0,0.0,random
526,650,0,0.0,0.0,random
527,651,0,0.0,0.0,random
528,652,0,0.0,0.0,random
529,654,0,0.0,0.0,random
530,655,0,0.0,0.0,random
531,656,0,0.0,0.0,random
532,657,0,0.0,0.0,random
533,658,0,0.0,0.0,random
534,659,0,0.0,0.0,random
535,660,0,0.0,0.0,random
536,662,0,0.0,0.0,random
537,663,0,0.0,0.0,random
538,664,0,0.0,0.0,random
539,665,0,0.0,0.0,random
540,666,0,0.0,0.0,random
541,667,0,0.0,0.0,random
542,668,0,0.0,0.0,random
543,669,0,0.0,0.0,random
544,670,0,0.0,0.0,random
545,671,0,0.0,0.0,random
546,672,0,0.0,0.0,random
547,673,0,0.0,0.0,random
548,674,0,0.0,0.0,random
549,675,0,0.0,0.0,random
550,676,0,0.0,0.0,random
551,677,0,0.0,0.0,random
552,678,0,0.0,0.0,random
553,679,0,0.0,0.0,random
554,680,0,0.0,0.0,random
555,681,0,0.0,0.0,random
556,683,0,0.0,0.0,random
557,684,0,0.0,0.0,random
558,685,0,0.0,0.0,random
559,686,0,0.0,0.0,random
560,687,0,0.0,0.0,random
561,688,0,0.0,0.0,random
562,689,0,0.0,0.0,random
563,690,0,0.0,0.0,random
564,691,0,0.0,0.0,random
565,692,0,0.0,0.0,random
566,694,0,0.0,0.0,random
567,695,0,0.0,0.0,random
568,696,0,0.0,0.0,random
569,697,0,0.0,0.0,random
570,699,0,0.0,0.0,random
571,700,0,0.0,0.0,random
572,701,0,0.0,0.0,random
573,702,0,0.0,0.0,random
574,703,0,0.0,0.0,random
575,704,0,0.0,0.0,random
576,705,0,0.0,0.0,random
577,706,0,0.0,0.0,random
578,707,0,0.0,0.0,random
579,708,0,0.0,0.0,random
580,709,0,0.0,0.0,random
581,710,0,0.0,0.0,random
582,711,0,0.0,0.0,random
583,713,0,0.0,0.0,random
584,714,0,0.0,0.0,random
585,715,0,0.0,0.0,random
586,716,0,0.0,0.0,random
587,717,0,0.0,0.0,random
588,718,0,0.0,0.0,random
589,719,0,0.0,0.0,random
590,720,0,0.0,0.0,random
591,721,0,0.0,0.0,random
592,722,0,0.0,0.0,random
593,723,0,0.0,0.0,random
594,724,0,0.0,0.0,random
595,725,0,0.0,0.0,random
596,726,0,0.0,0.0,random
597,727,0,0.0,0.0,random
598,728,0,0.0,0.0,random
599,729,0,0.0,0.0,random
600,730,0,0.0,0.0,random
601,731,0,0.0,0.0,random
602,732,0,0.0,0.0,random
603,733,0,0.0,0.0,random
604,734,0,0.0,0.0,random
605,735,0,0.0,0.0,random
606,736,0,0.0,0.0,random
607,737,0,0.0,0.0,random
608,738,0,0.0,0.0,random
609,739,0,0.0,0.0,random
610,740,0,0.0,0.0,random
611,741,0,0.0,0.0,random
612,742,0,0.0,0.0,random
613,743,0,0.0,0.0,random
614,744,0,0.0,0.0,random
615,745,0,0.0,0.0,random
616,746,0,0.0,0.0,random
617,747,0,0.0,0.0,random
618,748,0,0.0,0.0,random
619,749,0,0.0,0.0,random
620,750,0,0.0,0.0,random
621,751,0,0.0,0.0,random
622,752,0,0.0,0.0,random
623,753,0,0.0,0.0,random
624,754,0,0.0,0.0,random
625,755,0,0.0,0.0,random
626,756,0,0.0,0.0,random
627,757,0,0.0,0.0,random
628,758,0,0.0,0.0,random
629,759,0,0.0,0.0,random
630,760,0,0.0,0.0,random
631,761,0,0.0,0.0,random
632,762,0,0.0,0.0,random
633,763,0,0.0,0.0,random
634,764,0,0.0,0.0,random
635,765,0,0.0,0.0,random
636,766,0,0.0,0.0,random
637,767,0,0.0,0.0,random
638,768,0,0.0,0.0,random
639,769,0,0.0,0.0,random
640,770,0,0.0,0.0,random
641,771,0,0.0,0.0,random
642,772,0,0.0,0.0,random
643,773,0,0.0,0.0,random
644,774,0,0.0,0.0,random
645,775,0,0.0,0.0,random
646,776,0,0.0,0.0,random
647,777,0,0.0,0.0,random
648,778,0,0.0,0.0,random
649,779,0,0.0,0.0,random
650,780,0,0.0,0.0,random
651,781,0,0.0,0.0,random
652,782,0,0.0,0.0,random
653,783,0,0.0,0.0,random
654,784,0,0.0,0.0,random
655,785,0,0.0,0.0,random
656,786,0,0.0,0.0,random
657,787,0,0.0,0.0,random
658,788,0,0.0,0.0,random
659,789,0,0.0,0.0,random
660,790,0,0.0,0.0,random
661,791,0,0.0,0.0,random
662,792,0,0.0,0.0,random
663,793,0,0.0,0.0,random
664,794,0,0.0,0.0,random
665,795,0,0.0,0.0,random
666,796,0,0.0,0.0,random
667,797,0,0.0,0.0,random
668,798,0,0.0,0.0,random
669,799,0,0.0,0.0,random
670,800,0,0.0,0.0,random
671,801,0,0.0,0.0,random
672,802,0,0.0,0.0,random
673,803,0,0.0,0.0,random
674,804,0,0.0,0.0,random
675,805,0,0.0,0.0,random
676,806,0,0.0,0.0,random
677,807,0,0.0,0.0,random
678,808,0,0.0,0.0,random
679,809,0,0.0,0.0,random
680,810,0,0.0,0.0,random
681,811,0,0.0,0.0,random
682,812,0,0.0,0.0,random
683,813,0,0.0,0.0,random
684,814,0,0.0,0.0,random
685,815,0,0.0,0.0,random
686,816,0,0.0,0.0,random
687,817,0,0.0,0.0,random
688,818,0,0.0,0.0,random
689,819,0,0.0,0.0,random
690,820,0,0.0,0.0,random
691,821,0,0.0,0.0,random
692,822,0,0.0,0.0,random
693,823,0,0.0,0.0,random
694,824,0,0.0,0.0,random
695,825,0,0.0,0.0,random
