episode,return,length,rolling_mean_reward,loss
1,0.0,4,0.0,0.04174628481268883
2,0.0,5,0.0,0.03992684558033943
3,0.0,5,0.0,0.045067012310028076
4,6.0,4,1.5,0.034567300230264664
5,0.0,5,1.2,0.04338774085044861
6,0.0,2,1.0,0.04302363470196724
7,7.0,1,1.8571428571428572,0.04587744548916817
8,7.0,4,2.5,0.10118554532527924
9,0.0,4,2.2222222222222223,0.04238993674516678
10,5.0,4,2.5,0.08328794687986374
11,0.0,5,2.272727272727273,0.04104558005928993
12,0.0,2,2.0833333333333335,0.037994544953107834
13,8.0,3,2.5384615384615383,0.09454384446144104
14,4.0,1,2.642857142857143,0.046779926866292953
15,8.0,2,3.0,0.036716751754283905
16,8.0,2,3.3125,0.06106964871287346
17,7.0,1,3.5294117647058822,0.04157376289367676
18,0.0,3,3.3333333333333335,0.035907916724681854
19,0.0,2,3.1578947368421053,0.05215158686041832
20,0.0,5,3.0,0.05049572512507439
21,6.0,1,3.142857142857143,0.03998061269521713
22,0.0,3,3.0,0.04624028876423836
23,6.0,4,3.130434782608696,0.04905574023723602
24,0.0,3,3.0,0.038451358675956726
25,5.0,2,3.08,0.0547647587954998
26,0.0,5,2.9615384615384617,0.04387097433209419
27,0.0,2,2.8518518518518516,0.049015436321496964
28,4.0,1,2.892857142857143,0.04870491474866867
29,0.0,2,2.793103448275862,0.04129493609070778
30,8.0,1,2.966666666666667,0.04419281706213951
31,0.0,2,2.870967741935484,0.04269527271389961
32,9.0,4,3.0625,-0.15037187933921814
33,8.0,1,3.212121212121212,0.043710608035326004
34,9.0,3,3.3823529411764706,0.021263498812913895
35,0.0,3,3.2857142857142856,0.0420512892305851
36,0.0,2,3.1944444444444446,0.04505566135048866
37,0.0,3,3.108108108108108,0.042630862444639206
38,10.0,2,3.289473684210526,0.0591789074242115
39,0.0,3,3.2051282051282053,0.051270466297864914
40,3.0,2,3.2,0.055130284279584885
41,0.0,5,3.1219512195121952,0.03886276111006737
42,4.0,1,3.142857142857143,0.037538301199674606
43,4.0,1,3.1627906976744184,0.04333941265940666
44,6.0,2,3.227272727272727,0.04985569417476654
45,4.0,2,3.2444444444444445,0.03994222730398178
46,0.0,3,3.1739130434782608,0.045824721455574036
47,0.0,3,3.106382978723404,0.044479481875896454
48,4.0,2,3.125,0.028721697628498077
49,0.0,5,3.061224489795918,0.04191584140062332
50,4.0,1,3.08,0.047309283167123795
51,0.0,4,3.08,0.04775204882025719
52,0.0,2,3.08,0.03602897375822067
53,0.0,2,3.08,0.03914785385131836
54,0.0,2,2.96,0.03580470383167267
55,7.0,2,3.1,0.038132622838020325
56,0.0,2,3.1,0.0411888025701046
57,7.0,4,3.1,0.1454935222864151
58,5.0,2,3.06,0.029397375881671906
59,10.0,2,3.26,-0.00887550413608551
60,10.0,1,3.36,0.04340839385986328
61,10.0,2,3.56,0.03987756744027138
62,7.0,1,3.7,0.03085113689303398
63,6.0,3,3.66,-0.028765030205249786
64,0.0,2,3.58,0.03592166304588318
65,9.0,1,3.6,0.036165762692689896
66,5.0,1,3.54,0.031380027532577515
67,4.0,1,3.48,0.032976824790239334
68,5.0,2,3.58,0.04949866235256195
69,0.0,5,3.58,0.04350016638636589
70,9.0,2,3.76,-0.01659352332353592
71,0.0,2,3.64,0.034006230533123016
72,6.0,2,3.76,-0.0007189400494098663
73,10.0,1,3.84,0.029666945338249207
74,6.0,2,3.96,0.09805420786142349
75,7.0,4,4.0,-0.10131395608186722
76,4.0,2,4.08,-0.013909675180912018
77,7.0,2,4.22,-0.00864950567483902
78,6.0,4,4.26,0.10878066718578339
79,6.0,4,4.38,0.07048457860946655
80,6.0,2,4.34,-0.024579428136348724
81,0.0,3,4.34,0.05050218105316162
82,0.0,5,4.16,0.04891057312488556
83,5.0,5,4.1,-0.09450771659612656
84,6.0,2,4.04,0.002935640513896942
85,10.0,3,4.24,-0.15147845447063446
86,0.0,4,4.24,0.037442248314619064
87,0.0,2,4.24,0.048903658986091614
88,6.0,3,4.16,0.02884899079799652
89,7.0,1,4.3,0.02245119772851467
90,0.0,2,4.24,0.028309430927038193
91,0.0,5,4.24,0.033618614077568054
92,4.0,1,4.24,0.028679469600319862
93,8.0,2,4.32,0.12499254941940308
94,10.0,2,4.4,-0.07114938646554947
95,4.0,4,4.4,0.07157225906848907
96,8.0,2,4.56,-0.05497368425130844
97,6.0,2,4.68,0.027222350239753723
98,7.0,4,4.74,0.15251114964485168
99,9.0,2,4.92,-0.019693918526172638
100,8.0,1,5.0,0.03012416511774063
101,5.0,3,5.1,0.06726223975419998
102,0.0,2,5.1,0.024179914966225624
103,9.0,3,5.28,-0.0016190819442272186
104,6.0,3,5.4,0.1925516575574875
105,5.0,2,5.36,-0.025496486574411392
106,0.0,2,5.36,0.026050059124827385
107,8.0,2,5.38,0.12392810732126236
108,6.0,1,5.4,0.023845143616199493
109,0.0,2,5.2,0.02938219904899597
110,8.0,5,5.16,0.12424000352621078
111,4.0,1,5.04,0.028242873027920723
112,9.0,2,5.08,-0.037441644817590714
113,4.0,1,5.04,0.026663223281502724
