update,policy_loss,value_loss,entropy,steps
0,-0.05878608301281929,11.441060066223145,2.5977165699005127,128
1,0.025124311447143555,7.4312238693237305,2.4573593139648438,256
2,0.053847286850214005,7.57884407043457,2.611769914627075,384
3,0.01617579162120819,9.244796752929688,2.9186997413635254,512
4,-0.1644737422466278,19.084402084350586,2.6272149085998535,640
5,-0.10834550857543945,18.552732467651367,2.3926265239715576,768
6,-0.3346816897392273,36.48649215698242,2.1632699966430664,896
7,-0.18696242570877075,15.940271377563477,2.13746976852417,1024
8,0.04816334694623947,20.936954498291016,2.1470534801483154,1152
9,-0.001876235008239746,26.84252166748047,1.9996252059936523,1280
10,0.11598864197731018,16.892494201660156,1.9137171506881714,1408
11,-0.07798559963703156,21.417491912841797,1.3143761157989502,1536
12,0.1227443665266037,19.16541290283203,1.8531337976455688,1664
13,0.009538024663925171,20.16472816467285,1.5234490633010864,1792
14,-0.044756434857845306,27.99321937561035,1.0695631504058838,1920
15,-0.08859740197658539,26.686111450195312,1.193812608718872,2048
16,-0.10039414465427399,21.995243072509766,1.5179131031036377,2176
17,0.07189877331256866,17.816160202026367,1.4056016206741333,2304
18,0.018484245985746384,24.314653396606445,1.534990906715393,2432
19,-0.023313313722610474,23.153261184692383,1.2357441186904907,2560
20,-0.11167760193347931,21.83552360534668,1.0506256818771362,2688
21,0.05584106594324112,18.570640563964844,1.5472902059555054,2816
22,0.008497752249240875,17.603439331054688,1.1257648468017578,2944
