step,episode,return,loss
5,1,0.0,0.0
10,2,0.0,0.0
11,3,0.0,0.0
14,4,11.0,0.0
17,5,19.0,0.0
22,6,0.0,0.0
27,7,0.0,0.0
29,8,0.0,0.0
30,9,4.0,0.0
35,10,0.0,0.0
40,11,0.0,0.0
45,12,0.0,0.0
48,13,0.0,0.0
50,14,11.0,0.0
55,15,0.0,0.0
59,16,12.0,0.0
63,17,10.0,0.0
65,18,22.0,0.0
70,19,0.0,0.0
75,20,0.0,0.0
78,21,0.0,0.0
83,22,0.0,0.0
88,23,11.0,0.0
89,24,0.0,0.0
90,25,0.0,0.0
94,26,0.0,0.0
95,27,0.0,0.0
100,28,0.0,0.0
102,29,3.0,0.0
107,30,0.0,0.0
110,31,0.0,0.0
115,32,0.0,0.0
120,33,3.0,0.0
125,34,0.0,0.0
128,35,0.0,0.0
131,36,0.0,3.2036733627319336
134,37,0.0,0.0
137,38,0.0,0.0
142,39,0.0,0.0
144,40,0.0,0.0
145,41,0.0,0.0
149,42,5.0,0.0
154,43,0.0,0.0
158,44,5.0,0.0
163,45,0.0,0.0
166,46,6.0,0.0
171,47,18.0,0.0
172,48,0.0,0.0
173,49,0.0,0.0
175,50,10.0,0.0
177,51,10.0,0.0
179,52,0.0,0.0
183,53,0.0,0.0
185,54,16.0,0.0
186,55,12.0,0.0
188,56,18.0,0.0
191,57,0.0,0.0
192,58,0.0,0.0
197,59,0.0,0.0
201,60,0.0,0.0
203,61,29.0,0.0
207,62,0.0,0.0
211,63,4.0,0.0
214,64,0.0,0.0
215,65,14.0,0.0
218,66,0.0,0.0
221,67,0.0,0.0
225,68,4.0,0.0
227,69,0.0,0.0
230,70,16.0,0.0
231,71,0.0,0.0
233,72,0.0,0.0
235,73,0.0,0.0
236,74,0.0,0.0
241,75,0.0,0.0
242,76,0.0,0.0
243,77,16.0,0.0
246,78,11.0,0.0
251,79,0.0,0.0
254,80,8.0,0.0
259,81,0.0,4.177911758422852
261,82,14.0,0.0
263,83,0.0,0.0
264,84,0.0,0.0
269,85,8.0,0.0
273,86,13.0,0.0
278,87,0.0,0.0
281,88,5.0,0.0
285,89,7.0,0.0
286,90,0.0,0.0
287,91,0.0,0.0
289,92,0.0,0.0
291,93,6.0,0.0
292,94,0.0,0.0
293,95,14.0,0.0
298,96,0.0,0.0
303,97,8.0,0.0
304,98,11.0,0.0
306,99,5.0,0.0
311,100,0.0,0.0
313,101,9.0,0.0
317,102,20.0,0.0
321,103,0.0,0.0
323,104,0.0,0.0
325,105,18.0,0.0
329,106,8.0,0.0
332,107,0.0,0.0
334,108,0.0,0.0
336,109,23.0,0.0
340,110,0.0,0.0
343,111,15.0,0.0
346,112,0.0,0.0
350,113,0.0,0.0
351,114,0.0,0.0
353,115,6.0,0.0
357,116,0.0,0.0
359,117,15.0,0.0
