step,episode,return,loss
5,1,0.0,0.0
10,2,0.0,0.0
11,3,0.0,0.0
14,4,11.0,0.0
17,5,19.0,0.0
22,6,0.0,0.0
27,7,0.0,0.0
29,8,0.0,0.0
30,9,4.0,0.0
35,10,0.0,0.0
40,11,0.0,0.0
45,12,0.0,0.0
48,13,0.0,0.0
50,14,11.0,0.0
55,15,0.0,0.0
59,16,12.0,0.0
63,17,10.0,0.0
65,18,22.0,0.0
70,19,0.0,0.0
75,20,0.0,0.0
78,21,0.0,0.0
83,22,0.0,0.0
88,23,11.0,0.0
89,24,0.0,0.0
90,25,0.0,0.0
94,26,0.0,0.0
95,27,0.0,0.0
100,28,0.0,0.0
102,29,3.0,0.0
107,30,0.0,0.0
110,31,0.0,0.0
113,32,25.0,0.0
118,33,3.0,0.0
120,34,27.0,0.0
125,35,0.0,0.0
128,36,6.0,0.0
129,37,13.0,5.683840751647949
131,38,0.0,0.0
134,39,0.0,0.0
137,40,0.0,0.0
142,41,0.0,0.0
144,42,0.0,0.0
145,43,0.0,0.0
149,44,5.0,0.0
151,45,0.0,0.0
154,46,0.0,0.0
158,47,0.0,0.0
163,48,0.0,0.0
165,49,9.0,0.0
170,50,0.0,0.0
171,51,10.0,0.0
172,52,0.0,0.0
175,53,12.0,0.0
177,54,16.0,0.0
179,55,0.0,0.0
183,56,0.0,0.0
184,57,10.0,0.0
185,58,11.0,0.0
190,59,0.0,0.0
191,60,0.0,0.0
193,61,29.0,0.0
198,62,0.0,0.0
201,63,0.0,0.0
203,64,12.0,0.0
207,65,0.0,0.0
212,66,0.0,0.0
214,67,0.0,0.0
218,68,0.0,0.0
221,69,0.0,0.0
225,70,16.0,0.0
227,71,8.0,0.0
230,72,3.0,0.0
231,73,0.0,0.0
233,74,0.0,0.0
235,75,0.0,0.0
236,76,0.0,0.0
237,77,16.0,0.0
242,78,0.0,0.0
243,79,13.0,0.0
246,80,8.0,0.0
251,81,0.0,0.0
254,82,0.0,0.0
259,83,0.0,3.7327089309692383
261,84,8.0,0.0
263,85,0.0,0.0
264,86,0.0,0.0
269,87,0.0,0.0
273,88,5.0,0.0
278,89,7.0,0.0
283,90,0.0,0.0
285,91,20.0,0.0
286,92,0.0,0.0
287,93,0.0,0.0
289,94,0.0,0.0
291,95,14.0,0.0
292,96,0.0,0.0
294,97,8.0,0.0
299,98,0.0,0.0
303,99,5.0,0.0
304,100,0.0,0.0
306,101,0.0,0.0
311,102,0.0,0.0
313,103,0.0,0.0
317,104,15.0,0.0
321,105,0.0,0.0
323,106,8.0,0.0
325,107,0.0,0.0
330,108,0.0,0.0
332,109,0.0,0.0
334,110,0.0,0.0
336,111,15.0,0.0
340,112,0.0,0.0
343,113,7.0,0.0
348,114,0.0,0.0
350,115,0.0,0.0
351,116,0.0,0.0
353,117,15.0,0.0
