step,episode,return,loss
3,1,0.0,0.0
5,2,0.0,0.0
6,3,0.0,0.0
8,4,0.0,0.0
9,5,0.0,0.0
10,6,0.0,0.0
12,7,0.0,0.0
15,8,0.0,0.0
16,9,9.0,0.0
17,10,12.0,0.0
19,11,20.0,0.0
24,12,0.0,0.0
25,13,0.0,0.0
27,14,0.0,0.0
29,15,0.0,0.0
31,16,11.0,0.0
32,17,0.0,0.0
34,18,0.0,0.0
36,19,0.0,0.0
40,20,0.0,0.0
42,21,0.0,0.0
43,22,0.0,0.0
46,23,0.0,0.0
51,24,0.0,0.0
56,25,9.0,0.0
59,26,0.0,0.0
60,27,0.0,0.0
61,28,12.0,0.0
62,29,0.0,0.0
64,30,13.0,0.0
65,31,0.0,0.0
66,32,19.0,0.0
67,33,0.0,0.0
72,34,0.0,0.0
73,35,0.0,0.0
78,36,14.0,0.0
79,37,0.0,0.0
80,38,18.0,0.0
81,39,3.0,0.0
82,40,20.0,0.0
84,41,12.0,0.0
85,42,0.0,0.0
86,43,0.0,0.0
89,44,1.0,0.0
90,45,0.0,0.0
91,46,0.0,0.0
94,47,0.0,0.0
96,48,0.0,0.0
97,49,0.0,0.0
98,50,0.0,0.0
100,51,7.0,0.0
101,52,0.0,0.0
102,53,11.0,0.0
104,54,0.0,0.0
105,55,0.0,0.0
106,56,13.0,0.0
111,57,0.0,0.0
116,58,0.0,0.0
118,59,25.0,0.0
120,60,7.0,0.0
121,61,8.0,0.0
124,62,16.0,0.0
127,63,0.0,0.0
129,64,0.0,8.989389419555664
131,65,26.0,0.0
132,66,9.0,0.0
133,67,0.0,0.0
136,68,0.0,0.0
140,69,4.0,0.0
141,70,9.0,0.0
142,71,0.0,0.0
143,72,21.0,0.0
144,73,0.0,0.0
149,74,0.0,0.0
150,75,0.0,0.0
151,76,18.0,0.0
152,77,19.0,0.0
154,78,15.0,0.0
155,79,0.0,0.0
157,80,24.0,0.0
158,81,0.0,0.0
162,82,0.0,0.0
165,83,0.0,0.0
166,84,0.0,0.0
168,85,0.0,0.0
172,86,0.0,0.0
177,87,0.0,0.0
179,88,0.0,0.0
180,89,17.0,0.0
182,90,0.0,0.0
183,91,0.0,0.0
184,92,0.0,0.0
185,93,11.0,0.0
186,94,0.0,0.0
188,95,13.0,0.0
190,96,0.0,0.0
193,97,0.0,0.0
194,98,0.0,0.0
195,99,0.0,0.0
196,100,0.0,0.0
198,101,0.0,0.0
200,102,0.0,0.0
201,103,13.0,0.0
202,104,0.0,0.0
203,105,0.0,0.0
207,106,0.0,0.0
209,107,7.0,0.0
211,108,1.0,0.0
213,109,10.0,0.0
214,110,0.0,0.0
215,111,6.0,0.0
220,112,0.0,0.0
221,113,0.0,0.0
222,114,0.0,0.0
225,115,0.0,0.0
227,116,14.0,0.0
228,117,0.0,0.0
231,118,14.0,0.0
232,119,0.0,0.0
233,120,0.0,0.0
235,121,11.0,0.0
236,122,15.0,0.0
238,123,0.0,0.0
240,124,6.0,0.0
241,125,0.0,0.0
243,126,13.0,0.0
245,127,0.0,0.0
249,128,0.0,0.0
254,129,0.0,0.0
256,130,14.0,0.0
257,131,11.0,6.166967868804932
260,132,10.0,0.0
261,133,0.0,0.0
262,134,0.0,0.0
264,135,3.0,0.0
265,136,0.0,0.0
266,137,0.0,0.0
269,138,0.0,0.0
272,139,9.0,0.0
274,140,0.0,0.0
278,141,0.0,0.0
280,142,28.0,0.0
281,143,5.0,0.0
282,144,16.0,0.0
285,145,0.0,0.0
