update,policy_loss,value_loss,entropy,steps
0,-0.03632446378469467,15.954961776733398,2.6975693702697754,128
1,-0.0035881847143173218,16.618762969970703,2.7822515964508057,256
2,-0.01282414048910141,8.506131172180176,2.7767512798309326,384
3,-0.048104703426361084,15.812353134155273,2.677435874938965,512
4,-0.015989452600479126,22.602113723754883,2.4145474433898926,640
5,-0.03802094608545303,22.870460510253906,2.8667349815368652,768
6,0.2550625503063202,5.756120204925537,2.978306770324707,896
7,-0.10420601069927216,23.33904457092285,2.6004292964935303,1024
8,-0.11672507226467133,29.130109786987305,2.4927492141723633,1152
9,-0.11113762855529785,14.95832347869873,2.385241985321045,1280
10,0.06387566775083542,17.71755599975586,2.2736783027648926,1408
11,-0.028614498674869537,19.828105926513672,2.4631643295288086,1536
12,-0.0015219300985336304,16.4105281829834,2.509836196899414,1664
13,-0.23084338009357452,29.86639404296875,1.8958369493484497,1792
14,-0.17571362853050232,29.701242446899414,1.9081416130065918,1920
15,-0.01077737845480442,25.62994384765625,1.9141719341278076,2048
16,0.07158912718296051,22.04739761352539,2.16098690032959,2176
17,-0.06653951108455658,23.863616943359375,1.7220538854599,2304
18,-0.05305700749158859,27.197059631347656,1.7071503400802612,2432
19,0.22916018962860107,13.27000904083252,2.1803622245788574,2560
20,-0.33556264638900757,34.6042594909668,1.1763312816619873,2688
21,-0.047211162745952606,32.72037124633789,1.3375298976898193,2816
22,-0.06615914404392242,22.780744552612305,1.5353262424468994,2944
