step,episode,return,loss
2,1,10.0,0.0
6,2,0.0,0.0
8,3,14.0,0.0
10,4,21.0,0.0
13,5,11.0,0.0
17,6,14.0,0.0
18,7,0.0,0.0
23,8,0.0,0.0
25,9,9.0,0.0
27,10,12.0,0.0
28,11,0.0,0.0
33,12,8.0,0.0
35,13,0.0,0.0
36,14,0.0,0.0
38,15,0.0,0.0
39,16,0.0,0.0
44,17,16.0,0.0
49,18,0.0,0.0
50,19,20.0,0.0
51,20,0.0,0.0
52,21,9.0,0.0
56,22,14.0,0.0
58,23,0.0,0.0
59,24,0.0,0.0
63,25,9.0,0.0
67,26,21.0,0.0
69,27,12.0,0.0
71,28,12.0,0.0
76,29,0.0,0.0
78,30,0.0,0.0
81,31,0.0,0.0
83,32,0.0,0.0
87,33,12.0,0.0
92,34,15.0,0.0
94,35,0.0,0.0
96,36,14.0,0.0
100,37,22.0,0.0
101,38,18.0,0.0
104,39,3.0,0.0
105,40,0.0,0.0
110,41,0.0,0.0
113,42,23.0,0.0
116,43,9.0,0.0
117,44,1.0,0.0
118,45,0.0,0.0
120,46,0.0,0.0
125,47,0.0,0.0
130,48,0.0,9.940576553344727
133,49,8.0,0.0
134,50,0.0,0.0
136,51,7.0,0.0
138,52,10.0,0.0
139,53,11.0,0.0
144,54,0.0,0.0
149,55,0.0,0.0
151,56,13.0,0.0
154,57,15.0,0.0
155,58,0.0,0.0
157,59,25.0,0.0
160,60,7.0,0.0
161,61,8.0,0.0
165,62,16.0,0.0
169,63,6.0,0.0
172,64,0.0,0.0
174,65,0.0,0.0
176,66,9.0,0.0
178,67,21.0,0.0
180,68,0.0,0.0
184,69,0.0,0.0
185,70,9.0,0.0
187,71,3.0,0.0
188,72,21.0,0.0
191,73,0.0,0.0
194,74,11.0,0.0
195,75,0.0,0.0
196,76,0.0,0.0
197,77,0.0,0.0
201,78,15.0,0.0
202,79,0.0,0.0
204,80,0.0,0.0
205,81,0.0,0.0
209,82,0.0,0.0
211,83,0.0,0.0
212,84,0.0,0.0
217,85,0.0,0.0
222,86,0.0,0.0
227,87,0.0,0.0
228,88,0.0,0.0
230,89,0.0,0.0
234,90,10.0,0.0
237,91,0.0,0.0
242,92,0.0,0.0
243,93,0.0,0.0
248,94,0.0,0.0
249,95,0.0,0.0
251,96,10.0,0.0
254,97,12.0,0.0
256,98,0.0,0.0
261,99,22.0,3.38362193107605
262,100,0.0,0.0
263,101,0.0,0.0
268,102,0.0,0.0
271,103,13.0,0.0
272,104,0.0,0.0
273,105,0.0,0.0
274,106,0.0,0.0
276,107,7.0,0.0
277,108,0.0,0.0
279,109,10.0,0.0
284,110,0.0,0.0
289,111,6.0,0.0
294,112,0.0,0.0
296,113,9.0,0.0
301,114,0.0,0.0
302,115,0.0,0.0
306,116,0.0,0.0
308,117,16.0,0.0
311,118,0.0,0.0
316,119,0.0,0.0
321,120,0.0,0.0
324,121,11.0,0.0
329,122,0.0,0.0
330,123,0.0,0.0
332,124,6.0,0.0
336,125,0.0,0.0
339,126,13.0,0.0
341,127,0.0,0.0
346,128,0.0,0.0
351,129,0.0,0.0
355,130,14.0,0.0
357,131,0.0,0.0
359,132,0.0,0.0
361,133,0.0,0.0
363,134,0.0,0.0
364,135,0.0,0.0
366,136,5.0,0.0
371,137,0.0,0.0
376,138,0.0,0.0
380,139,9.0,0.0
382,140,20.0,0.0
383,141,0.0,0.0
384,142,0.0,0.0
386,143,5.0,3.8536267280578613
389,144,16.0,0.0
390,145,0.0,0.0
392,146,0.0,0.0
393,147,21.0,0.0
394,148,0.0,0.0
396,149,19.0,0.0
400,150,13.0,0.0
403,151,0.0,0.0
404,152,13.0,0.0
405,153,0.0,0.0
408,154,15.0,0.0
409,155,14.0,0.0
411,156,13.0,0.0
412,157,0.0,0.0
414,158,19.0,0.0
419,159,0.0,0.0
424,160,0.0,0.0
426,161,0.0,0.0
428,162,8.0,0.0
431,163,0.0,0.0
433,164,0.0,0.0
438,165,0.0,0.0
439,166,0.0,0.0
444,167,0.0,0.0
446,168,0.0,0.0
447,169,10.0,0.0
450,170,18.0,0.0
453,171,18.0,0.0
458,172,0.0,0.0
461,173,0.0,0.0
465,174,2.0,0.0
469,175,0.0,0.0
470,176,14.0,0.0
473,177,14.0,0.0
474,178,0.0,0.0
477,179,4.0,0.0
480,180,8.0,0.0
485,181,0.0,0.0
486,182,0.0,0.0
487,183,0.0,0.0
491,184,0.0,0.0
492,185,2.0,0.0
493,186,0.0,0.0
494,187,23.0,0.0
498,188,9.0,0.0
500,189,0.0,0.0
505,190,0.0,0.0
508,191,23.0,0.0
510,192,14.0,0.0
513,193,16.0,7.874221324920654
514,194,7.0,0.0
515,195,0.0,0.0
516,196,19.0,0.0
521,197,0.0,0.0
525,198,0.0,0.0
528,199,0.0,0.0
533,200,8.0,0.0
534,201,0.0,0.0
535,202,0.0,0.0
536,203,13.0,0.0
540,204,0.0,0.0
543,205,8.0,0.0
545,206,0.0,0.0
550,207,0.0,0.0
551,208,21.0,0.0
552,209,13.0,0.0
557,210,0.0,0.0
559,211,14.0,0.0
561,212,0.0,0.0
564,213,5.0,0.0
565,214,0.0,0.0
566,215,0.0,0.0
567,216,1.0,0.0
568,217,0.0,0.0
571,218,0.0,0.0
572,219,17.0,0.0
575,220,15.0,0.0
578,221,10.0,0.0
579,222,11.0,0.0
582,223,0.0,0.0
583,224,12.0,0.0
588,225,0.0,0.0
590,226,0.0,0.0
592,227,22.0,0.0
595,228,6.0,0.0
597,229,15.0,0.0
600,230,16.0,0.0
601,231,8.0,0.0
606,232,10.0,0.0
609,233,12.0,0.0
610,234,0.0,0.0
612,235,19.0,0.0
616,236,3.0,0.0
617,237,0.0,0.0
618,238,18.0,0.0
620,239,13.0,0.0
622,240,7.0,0.0
624,241,0.0,0.0
627,242,6.0,0.0
632,243,11.0,0.0
634,244,0.0,0.0
638,245,0.0,0.0
640,246,12.0,0.0
641,247,15.0,5.8610639572143555
645,248,1.0,0.0
647,249,0.0,0.0
648,250,0.0,0.0
650,251,7.0,0.0
652,252,4.0,0.0
653,253,5.0,0.0
654,254,0.0,0.0
657,255,10.0,0.0
658,256,0.0,0.0
662,257,5.0,0.0
664,258,0.0,0.0
665,259,16.0,0.0
668,260,9.0,0.0
669,261,17.0,0.0
670,262,10.0,0.0
675,263,0.0,0.0
680,264,0.0,0.0
682,265,7.0,0.0
687,266,0.0,0.0
689,267,16.0,0.0
692,268,15.0,0.0
694,269,24.0,0.0
696,270,16.0,0.0
699,271,11.0,0.0
701,272,5.0,0.0
705,273,3.0,0.0
707,274,5.0,0.0
711,275,11.0,0.0
712,276,0.0,0.0
713,277,0.0,0.0
715,278,0.0,0.0
720,279,0.0,0.0
721,280,16.0,0.0
725,281,0.0,0.0
726,282,0.0,0.0
727,283,0.0,0.0
728,284,9.0,0.0
732,285,15.0,0.0
736,286,0.0,0.0
737,287,8.0,0.0
738,288,4.0,0.0
739,289,6.0,0.0
740,290,22.0,0.0
742,291,6.0,0.0
743,292,10.0,0.0
745,293,0.0,0.0
746,294,13.0,0.0
747,295,0.0,0.0
750,296,14.0,0.0
753,297,11.0,0.0
758,298,0.0,0.0
763,299,0.0,0.0
765,300,22.0,0.0
766,301,15.0,0.0
767,302,16.0,0.0
768,303,0.0,0.0
773,304,0.0,11.06799602508545
775,305,18.0,0.0
776,306,0.0,0.0
781,307,0.0,0.0
782,308,11.0,0.0
784,309,0.0,0.0
786,310,25.0,0.0
791,311,18.0,0.0
795,312,7.0,0.0
800,313,0.0,0.0
801,314,3.0,0.0
803,315,12.0,0.0
804,316,21.0,0.0
807,317,15.0,0.0
809,318,7.0,0.0
810,319,23.0,0.0
813,320,12.0,0.0
815,321,0.0,0.0
818,322,2.0,0.0
819,323,21.0,0.0
820,324,23.0,0.0
821,325,5.0,0.0
825,326,16.0,0.0
826,327,24.0,0.0
830,328,0.0,0.0
834,329,7.0,0.0
835,330,13.0,0.0
838,331,0.0,0.0
840,332,5.0,0.0
842,333,0.0,0.0
843,334,0.0,0.0
844,335,14.0,0.0
846,336,0.0,0.0
849,337,0.0,0.0
854,338,16.0,0.0
855,339,0.0,0.0
857,340,15.0,0.0
858,341,0.0,0.0
861,342,11.0,0.0
863,343,7.0,0.0
865,344,17.0,0.0
868,345,0.0,0.0
871,346,17.0,0.0
872,347,0.0,0.0
877,348,0.0,0.0
878,349,15.0,0.0
879,350,0.0,0.0
882,351,0.0,0.0
883,352,0.0,0.0
885,353,17.0,0.0
887,354,26.0,0.0
890,355,0.0,0.0
891,356,12.0,0.0
892,357,12.0,0.0
896,358,18.0,0.0
898,359,8.0,11.735133171081543
902,360,0.0,0.0
907,361,17.0,0.0
911,362,6.0,0.0
914,363,15.0,0.0
919,364,0.0,0.0
920,365,16.0,0.0
922,366,15.0,0.0
926,367,10.0,0.0
927,368,15.0,0.0
929,369,7.0,0.0
931,370,15.0,0.0
934,371,15.0,0.0
935,372,17.0,0.0
940,373,0.0,0.0
941,374,26.0,0.0
944,375,0.0,0.0
946,376,14.0,0.0
950,377,10.0,0.0
953,378,8.0,0.0
958,379,20.0,0.0
960,380,0.0,0.0
963,381,0.0,0.0
966,382,11.0,0.0
971,383,0.0,0.0
972,384,14.0,0.0
974,385,20.0,0.0
977,386,5.0,0.0
979,387,10.0,0.0
984,388,0.0,0.0
985,389,15.0,0.0
988,390,9.0,0.0
991,391,16.0,0.0
992,392,0.0,0.0
993,393,0.0,0.0
998,394,0.0,0.0
1000,395,6.0,0.0
1002,396,8.0,0.0
1005,397,16.0,0.0
1008,398,0.0,0.0
1009,399,0.0,0.0
1010,400,10.0,0.0
1013,401,19.0,0.0
1014,402,0.0,0.0
1016,403,0.0,0.0
1019,404,10.0,0.0
1024,405,0.0,0.0
1025,406,0.0,9.263378143310547
1026,407,13.0,0.0
1028,408,10.0,0.0
1030,409,9.0,0.0
1032,410,14.0,0.0
1033,411,15.0,0.0
1035,412,12.0,0.0
1037,413,20.0,0.0
1038,414,20.0,0.0
1040,415,0.0,0.0
1045,416,0.0,0.0
1047,417,0.0,0.0
1052,418,0.0,0.0
1054,419,23.0,0.0
1056,420,12.0,0.0
1059,421,5.0,0.0
1061,422,15.0,0.0
1063,423,7.0,0.0
1065,424,4.0,0.0
1067,425,0.0,0.0
1070,426,0.0,0.0
1071,427,11.0,0.0
1074,428,0.0,0.0
1075,429,0.0,0.0
1076,430,24.0,0.0
1080,431,16.0,0.0
1085,432,18.0,0.0
1086,433,7.0,0.0
1087,434,5.0,0.0
1089,435,0.0,0.0
1092,436,20.0,0.0
1093,437,3.0,0.0
1094,438,21.0,0.0
1096,439,21.0,0.0
1097,440,15.0,0.0
1099,441,19.0,0.0
1100,442,10.0,0.0
1101,443,22.0,0.0
1102,444,20.0,0.0
1103,445,0.0,0.0
1104,446,0.0,0.0
1105,447,0.0,0.0
1106,448,0.0,0.0
1107,449,12.0,0.0
1109,450,0.0,0.0
1110,451,6.0,0.0
1111,452,26.0,0.0
1112,453,6.0,0.0
1114,454,16.0,0.0
1119,455,0.0,0.0
1124,456,16.0,0.0
1126,457,9.0,0.0
1128,458,12.0,0.0
1129,459,12.0,0.0
1130,460,9.0,0.0
1134,461,0.0,0.0
1137,462,0.0,0.0
1140,463,21.0,0.0
1141,464,10.0,0.0
1146,465,0.0,0.0
1151,466,0.0,0.0
1152,467,11.0,0.0
1153,468,25.0,13.47446060180664
1155,469,5.0,0.0
1156,470,17.0,0.0
1158,471,16.0,0.0
1159,472,7.0,0.0
1161,473,4.0,0.0
1162,474,13.0,0.0
