step,episode,return,loss
5,1,0.0,0.0
8,2,0.0,0.0
10,3,0.0,0.0
15,4,0.0,0.0
17,5,22.0,0.0
18,6,9.0,0.0
19,7,0.0,0.0
23,8,0.0,0.0
27,9,8.0,0.0
32,10,0.0,0.0
34,11,19.0,0.0
39,12,0.0,0.0
41,13,14.0,0.0
42,14,0.0,0.0
43,15,0.0,0.0
48,16,0.0,0.0
53,17,20.0,0.0
58,18,0.0,0.0
59,19,20.0,0.0
60,20,0.0,0.0
62,21,0.0,0.0
65,22,17.0,0.0
69,23,14.0,0.0
74,24,0.0,0.0
78,25,23.0,0.0
82,26,0.0,0.0
84,27,6.0,0.0
89,28,0.0,0.0
94,29,0.0,0.0
97,30,16.0,0.0
99,31,0.0,0.0
104,32,0.0,0.0
109,33,13.0,0.0
111,34,18.0,0.0
113,35,0.0,0.0
115,36,14.0,0.0
119,37,1.0,0.0
123,38,0.0,0.0
126,39,0.0,0.0
128,40,4.0,0.0
133,41,0.0,8.354588508605957
134,42,0.0,0.0
137,43,0.0,0.0
140,44,0.0,0.0
142,45,19.0,0.0
147,46,0.0,0.0
150,47,0.0,0.0
151,48,12.0,0.0
156,49,0.0,0.0
161,50,11.0,0.0
162,51,15.0,0.0
167,52,0.0,0.0
168,53,0.0,0.0
171,54,0.0,0.0
176,55,0.0,0.0
180,56,0.0,0.0
182,57,0.0,0.0
185,58,16.0,0.0
190,59,0.0,0.0
192,60,10.0,0.0
193,61,0.0,0.0
194,62,0.0,0.0
197,63,0.0,0.0
201,64,0.0,0.0
202,65,0.0,0.0
203,66,0.0,0.0
204,67,0.0,0.0
205,68,0.0,0.0
207,69,9.0,0.0
212,70,0.0,0.0
213,71,0.0,0.0
218,72,0.0,0.0
221,73,12.0,0.0
226,74,0.0,0.0
229,75,0.0,0.0
230,76,0.0,0.0
231,77,0.0,0.0
232,78,0.0,0.0
233,79,0.0,0.0
234,80,6.0,0.0
236,81,18.0,0.0
237,82,0.0,0.0
239,83,11.0,0.0
241,84,15.0,0.0
246,85,7.0,0.0
247,86,0.0,0.0
248,87,17.0,0.0
251,88,0.0,0.0
252,89,0.0,0.0
253,90,0.0,0.0
254,91,0.0,0.0
256,92,17.0,0.0
257,93,0.0,3.7750942707061768
262,94,0.0,0.0
263,95,0.0,0.0
267,96,0.0,0.0
268,97,21.0,0.0
271,98,0.0,0.0
272,99,0.0,0.0
273,100,0.0,0.0
276,101,0.0,0.0
278,102,0.0,0.0
282,103,14.0,0.0
284,104,0.0,0.0
289,105,0.0,0.0
290,106,0.0,0.0
291,107,0.0,0.0
296,108,0.0,0.0
297,109,0.0,0.0
302,110,14.0,0.0
303,111,0.0,0.0
305,112,12.0,0.0
308,113,0.0,0.0
310,114,0.0,0.0
312,115,0.0,0.0
313,116,1.0,0.0
314,117,0.0,0.0
316,118,0.0,0.0
317,119,0.0,0.0
320,120,0.0,0.0
322,121,14.0,0.0
327,122,0.0,0.0
330,123,0.0,0.0
335,124,0.0,0.0
336,125,8.0,0.0
338,126,0.0,0.0
343,127,0.0,0.0
348,128,0.0,0.0
349,129,0.0,0.0
351,130,14.0,0.0
353,131,10.0,0.0
358,132,0.0,0.0
363,133,0.0,0.0
364,134,15.0,0.0
366,135,10.0,0.0
367,136,0.0,0.0
369,137,0.0,0.0
374,138,0.0,0.0
376,139,0.0,0.0
380,140,0.0,0.0
381,141,0.0,0.0
382,142,0.0,0.0
384,143,3.0,0.0
389,144,24.0,1.517996907234192
390,145,10.0,0.0
391,146,0.0,0.0
392,147,8.0,0.0
396,148,4.0,0.0
398,149,23.0,0.0
402,150,19.0,0.0
404,151,15.0,0.0
406,152,11.0,0.0
409,153,17.0,0.0
414,154,0.0,0.0
415,155,0.0,0.0
416,156,0.0,0.0
417,157,0.0,0.0
419,158,5.0,0.0
420,159,0.0,0.0
423,160,0.0,0.0
427,161,0.0,0.0
428,162,8.0,0.0
431,163,22.0,0.0
433,164,10.0,0.0
437,165,0.0,0.0
441,166,0.0,0.0
442,167,0.0,0.0
447,168,16.0,0.0
450,169,0.0,0.0
451,170,11.0,0.0
452,171,0.0,0.0
453,172,0.0,0.0
455,173,0.0,0.0
459,174,0.0,0.0
460,175,0.0,0.0
461,176,0.0,0.0
464,177,0.0,0.0
465,178,0.0,0.0
466,179,7.0,0.0
471,180,26.0,0.0
472,181,0.0,0.0
474,182,0.0,0.0
475,183,0.0,0.0
477,184,0.0,0.0
480,185,14.0,0.0
482,186,14.0,0.0
486,187,0.0,0.0
488,188,0.0,0.0
491,189,22.0,0.0
494,190,0.0,0.0
495,191,0.0,0.0
499,192,0.0,0.0
500,193,9.0,0.0
503,194,0.0,0.0
507,195,9.0,0.0
512,196,0.0,0.0
513,197,2.0,11.226707458496094
515,198,0.0,0.0
520,199,0.0,0.0
522,200,6.0,0.0
523,201,12.0,0.0
524,202,0.0,0.0
525,203,0.0,0.0
529,204,0.0,0.0
534,205,0.0,0.0
536,206,0.0,0.0
539,207,16.0,0.0
540,208,14.0,0.0
544,209,0.0,0.0
545,210,0.0,0.0
546,211,1.0,0.0
550,212,0.0,0.0
555,213,0.0,0.0
556,214,0.0,0.0
557,215,0.0,0.0
559,216,8.0,0.0
563,217,18.0,0.0
564,218,0.0,0.0
565,219,3.0,0.0
567,220,17.0,0.0
572,221,4.0,0.0
574,222,13.0,0.0
576,223,12.0,0.0
577,224,0.0,0.0
580,225,12.0,0.0
582,226,0.0,0.0
585,227,6.0,0.0
586,228,0.0,0.0
587,229,1.0,0.0
588,230,0.0,0.0
590,231,10.0,0.0
595,232,0.0,0.0
598,233,0.0,0.0
599,234,0.0,0.0
600,235,0.0,0.0
602,236,0.0,0.0
603,237,26.0,0.0
604,238,0.0,0.0
605,239,0.0,0.0
606,240,0.0,0.0
607,241,0.0,0.0
609,242,16.0,0.0
611,243,0.0,0.0
612,244,0.0,0.0
613,245,0.0,0.0
615,246,13.0,0.0
616,247,0.0,0.0
617,248,0.0,0.0
619,249,0.0,0.0
624,250,14.0,0.0
629,251,0.0,0.0
631,252,15.0,0.0
636,253,7.0,0.0
641,254,18.0,3.915010452270508
642,255,11.0,0.0
644,256,19.0,0.0
646,257,0.0,0.0
648,258,3.0,0.0
649,259,16.0,0.0
654,260,3.0,0.0
655,261,0.0,0.0
656,262,0.0,0.0
657,263,0.0,0.0
661,264,9.0,0.0
663,265,0.0,0.0
666,266,22.0,0.0
667,267,14.0,0.0
669,268,0.0,0.0
671,269,13.0,0.0
673,270,14.0,0.0
676,271,0.0,0.0
677,272,4.0,0.0
678,273,0.0,0.0
681,274,8.0,0.0
684,275,0.0,0.0
689,276,0.0,0.0
690,277,0.0,0.0
691,278,16.0,0.0
692,279,0.0,0.0
696,280,0.0,0.0
700,281,0.0,0.0
701,282,0.0,0.0
706,283,0.0,0.0
708,284,0.0,0.0
710,285,1.0,0.0
715,286,15.0,0.0
716,287,8.0,0.0
717,288,0.0,0.0
718,289,0.0,0.0
720,290,7.0,0.0
721,291,13.0,0.0
724,292,9.0,0.0
725,293,0.0,0.0
729,294,0.0,0.0
732,295,15.0,0.0
734,296,0.0,0.0
739,297,0.0,0.0
744,298,0.0,0.0
745,299,0.0,0.0
747,300,22.0,0.0
748,301,0.0,0.0
749,302,9.0,0.0
752,303,3.0,0.0
753,304,0.0,0.0
755,305,2.0,0.0
756,306,0.0,0.0
757,307,6.0,0.0
761,308,20.0,0.0
762,309,14.0,0.0
763,310,3.0,0.0
764,311,0.0,0.0
766,312,16.0,0.0
768,313,0.0,0.0
769,314,7.0,6.8464579582214355
770,315,20.0,0.0
773,316,21.0,0.0
778,317,0.0,0.0
782,318,0.0,0.0
784,319,26.0,0.0
785,320,17.0,0.0
786,321,0.0,0.0
788,322,9.0,0.0
791,323,5.0,0.0
793,324,0.0,0.0
796,325,10.0,0.0
798,326,16.0,0.0
800,327,0.0,0.0
801,328,11.0,0.0
802,329,0.0,0.0
803,330,0.0,0.0
805,331,0.0,0.0
806,332,10.0,0.0
809,333,0.0,0.0
811,334,0.0,0.0
812,335,0.0,0.0
813,336,4.0,0.0
815,337,7.0,0.0
817,338,16.0,0.0
822,339,0.0,0.0
827,340,0.0,0.0
831,341,0.0,0.0
834,342,0.0,0.0
839,343,0.0,0.0
840,344,0.0,0.0
841,345,0.0,0.0
846,346,0.0,0.0
847,347,8.0,0.0
849,348,16.0,0.0
852,349,0.0,0.0
853,350,15.0,0.0
855,351,10.0,0.0
858,352,7.0,0.0
860,353,9.0,0.0
861,354,0.0,0.0
865,355,7.0,0.0
866,356,0.0,0.0
868,357,20.0,0.0
871,358,17.0,0.0
872,359,14.0,0.0
873,360,0.0,0.0
874,361,16.0,0.0
877,362,0.0,0.0
878,363,0.0,0.0
879,364,18.0,0.0
880,365,0.0,0.0
882,366,0.0,0.0
885,367,4.0,0.0
886,368,0.0,0.0
887,369,21.0,0.0
892,370,0.0,0.0
895,371,0.0,0.0
897,372,24.0,10.136250495910645
899,373,23.0,0.0
900,374,9.0,0.0
904,375,27.0,0.0
905,376,12.0,0.0
906,377,0.0,0.0
907,378,0.0,0.0
911,379,2.0,0.0
913,380,18.0,0.0
915,381,9.0,0.0
920,382,11.0,0.0
921,383,0.0,0.0
924,384,6.0,0.0
927,385,21.0,0.0
