step,episode,return,loss
2,1,10.0,0.0
6,2,0.0,0.0
10,3,14.0,0.0
13,4,21.0,0.0
17,5,11.0,0.0
18,6,14.0,0.0
23,7,0.0,0.0
25,8,16.0,0.0
27,9,9.0,0.0
28,10,12.0,0.0
33,11,0.0,0.0
35,12,0.0,0.0
36,13,0.0,0.0
38,14,0.0,0.0
39,15,0.0,0.0
44,16,11.0,0.0
49,17,0.0,0.0
50,18,13.0,0.0
51,19,0.0,0.0
52,20,0.0,0.0
56,21,9.0,0.0
58,22,0.0,0.0
59,23,0.0,0.0
63,24,11.0,0.0
68,25,0.0,0.0
71,26,21.0,0.0
76,27,0.0,0.0
78,28,0.0,0.0
81,29,0.0,0.0
83,30,0.0,0.0
87,31,25.0,0.0
92,32,19.0,0.0
94,33,0.0,0.0
96,34,15.0,0.0
100,35,10.0,0.0
102,36,14.0,0.0
105,37,0.0,0.0
110,38,0.0,0.0
113,39,3.0,0.0
116,40,20.0,0.0
118,41,0.0,0.0
120,42,0.0,0.0
122,43,9.0,0.0
127,44,0.0,0.0
130,45,0.0,8.034684181213379
133,46,12.0,0.0
136,47,11.0,0.0
137,48,10.0,0.0
139,49,8.0,0.0
141,50,0.0,0.0
146,51,0.0,0.0
149,52,0.0,0.0
154,53,0.0,0.0
155,54,0.0,0.0
160,55,13.0,0.0
162,56,13.0,0.0
165,57,15.0,0.0
169,58,3.0,0.0
172,59,0.0,0.0
174,60,0.0,0.0
176,61,8.0,0.0
178,62,16.0,0.0
180,63,0.0,0.0
184,64,0.0,0.0
187,65,26.0,0.0
188,66,9.0,0.0
191,67,0.0,0.0
194,68,11.0,0.0
195,69,0.0,0.0
196,70,9.0,0.0
197,71,0.0,0.0
201,72,21.0,0.0
202,73,0.0,0.0
204,74,0.0,0.0
205,75,0.0,0.0
208,76,18.0,0.0
209,77,19.0,0.0
211,78,0.0,0.0
212,79,0.0,0.0
217,80,0.0,0.0
222,81,0.0,0.0
223,82,21.0,0.0
228,83,0.0,0.0
230,84,18.0,0.0
235,85,0.0,0.0
237,86,0.0,0.0
242,87,0.0,0.0
243,88,0.0,0.0
248,89,0.0,0.0
249,90,10.0,0.0
254,91,7.0,0.0
256,92,0.0,0.0
260,93,11.0,7.802238464355469
262,94,0.0,0.0
263,95,0.0,0.0
266,96,10.0,0.0
268,97,12.0,0.0
271,98,16.0,0.0
272,99,22.0,0.0
273,100,0.0,0.0
276,101,10.0,0.0
277,102,0.0,0.0
282,103,0.0,0.0
287,104,0.0,0.0
289,105,8.0,0.0
294,106,0.0,0.0
296,107,7.0,0.0
299,108,1.0,0.0
302,109,0.0,0.0
306,110,0.0,0.0
308,111,6.0,0.0
311,112,0.0,0.0
316,113,0.0,0.0
321,114,0.0,0.0
322,115,10.0,0.0
324,116,14.0,0.0
329,117,0.0,0.0
330,118,0.0,0.0
332,119,3.0,0.0
335,120,20.0,0.0
336,121,0.0,0.0
340,122,15.0,0.0
341,123,0.0,0.0
345,124,6.0,0.0
346,125,0.0,0.0
351,126,0.0,0.0
356,127,0.0,0.0
357,128,0.0,0.0
359,129,0.0,0.0
361,130,0.0,0.0
363,131,11.0,0.0
364,132,10.0,0.0
366,133,17.0,0.0
371,134,0.0,0.0
376,135,0.0,0.0
380,136,0.0,0.0
382,137,29.0,0.0
383,138,10.0,0.0
384,139,0.0,0.0
386,140,20.0,5.644909381866455
390,141,15.0,0.0
392,142,28.0,0.0
393,143,5.0,0.0
394,144,0.0,0.0
396,145,0.0,0.0
400,146,16.0,0.0
401,147,21.0,0.0
403,148,0.0,0.0
405,149,0.0,0.0
408,150,13.0,0.0
411,151,8.0,0.0
412,152,0.0,0.0
415,153,7.0,0.0
420,154,0.0,0.0
424,155,14.0,0.0
426,156,0.0,0.0
428,157,16.0,0.0
429,158,19.0,0.0
431,159,0.0,0.0
433,160,0.0,0.0
438,161,0.0,0.0
439,162,0.0,0.0
444,163,0.0,0.0
446,164,0.0,0.0
449,165,0.0,0.0
453,166,23.0,0.0
454,167,12.0,0.0
458,168,0.0,0.0
461,169,0.0,0.0
465,170,18.0,0.0
466,171,18.0,0.0
469,172,0.0,0.0
473,173,11.0,0.0
474,174,0.0,0.0
477,175,21.0,0.0
480,176,14.0,0.0
484,177,0.0,0.0
486,178,0.0,0.0
487,179,0.0,0.0
492,180,0.0,0.0
493,181,0.0,0.0
494,182,0.0,0.0
499,183,0.0,0.0
500,184,0.0,0.0
505,185,2.0,0.0
510,186,0.0,0.0
513,187,0.0,10.634721755981445
515,188,0.0,0.0
516,189,0.0,0.0
521,190,0.0,0.0
525,191,0.0,0.0
528,192,0.0,0.0
533,193,16.0,0.0
534,194,0.0,0.0
535,195,0.0,0.0
536,196,19.0,0.0
538,197,14.0,0.0
541,198,6.0,0.0
543,199,16.0,0.0
545,200,0.0,0.0
547,201,13.0,0.0
549,202,10.0,0.0
550,203,0.0,0.0
552,204,20.0,0.0
557,205,0.0,0.0
559,206,9.0,0.0
561,207,0.0,0.0
564,208,21.0,0.0
565,209,0.0,0.0
566,210,0.0,0.0
568,211,0.0,0.0
572,212,0.0,0.0
575,213,0.0,0.0
578,214,0.0,0.0
582,215,0.0,0.0
587,216,0.0,0.0
590,217,0.0,0.0
595,218,12.0,0.0
597,219,17.0,0.0
602,220,0.0,0.0
607,221,10.0,0.0
609,222,11.0,0.0
610,223,0.0,0.0
611,224,0.0,0.0
612,225,15.0,0.0
617,226,0.0,0.0
619,227,22.0,0.0
620,228,6.0,0.0
624,229,0.0,0.0
627,230,0.0,0.0
632,231,8.0,0.0
634,232,0.0,0.0
637,233,12.0,0.0
638,234,0.0,0.0
640,235,19.0,0.0
645,236,3.0,5.363128662109375
647,237,0.0,0.0
648,238,18.0,0.0
650,239,13.0,0.0
652,240,7.0,0.0
654,241,0.0,0.0
656,242,6.0,0.0
657,243,11.0,0.0
658,244,0.0,0.0
659,245,8.0,0.0
661,246,12.0,0.0
662,247,15.0,0.0
664,248,0.0,0.0
665,249,12.0,0.0
669,250,18.0,0.0
674,251,0.0,0.0
679,252,0.0,0.0
680,253,5.0,0.0
685,254,0.0,0.0
690,255,0.0,0.0
692,256,11.0,0.0
694,257,5.0,0.0
696,258,13.0,0.0
701,259,16.0,0.0
703,260,9.0,0.0
705,261,17.0,0.0
707,262,10.0,0.0
711,263,23.0,0.0
712,264,0.0,0.0
713,265,0.0,0.0
715,266,0.0,0.0
718,267,16.0,0.0
721,268,0.0,0.0
725,269,0.0,0.0
726,270,0.0,0.0
727,271,0.0,0.0
732,272,5.0,0.0
736,273,0.0,0.0
737,274,0.0,0.0
739,275,11.0,0.0
741,276,19.0,0.0
745,277,16.0,0.0
747,278,0.0,0.0
750,279,9.0,0.0
751,280,16.0,0.0
753,281,8.0,0.0
756,282,3.0,0.0
759,283,11.0,0.0
763,284,0.0,0.0
765,285,15.0,0.0
766,286,0.0,0.0
767,287,8.0,0.0
768,288,0.0,0.0
773,289,0.0,9.947230339050293
774,290,22.0,0.0
775,291,0.0,0.0
776,292,0.0,0.0
777,293,12.0,0.0
782,294,0.0,0.0
784,295,0.0,0.0
787,296,14.0,0.0
789,297,11.0,0.0
790,298,0.0,0.0
791,299,0.0,0.0
795,300,22.0,0.0
797,301,15.0,0.0
802,302,0.0,0.0
803,303,15.0,0.0
807,304,10.0,0.0
809,305,18.0,0.0
810,306,0.0,0.0
813,307,20.0,0.0
815,308,0.0,0.0
819,309,11.0,0.0
820,310,25.0,0.0
823,311,18.0,0.0
825,312,7.0,0.0
829,313,1.0,0.0
830,314,0.0,0.0
834,315,12.0,0.0
835,316,21.0,0.0
837,317,15.0,0.0
838,318,0.0,0.0
840,319,23.0,0.0
842,320,0.0,0.0
843,321,0.0,0.0
844,322,0.0,0.0
846,323,0.0,0.0
849,324,23.0,0.0
851,325,5.0,0.0
854,326,16.0,0.0
855,327,24.0,0.0
858,328,17.0,0.0
861,329,7.0,0.0
863,330,13.0,0.0
865,331,14.0,0.0
868,332,5.0,0.0
871,333,0.0,0.0
872,334,0.0,0.0
877,335,0.0,0.0
879,336,0.0,0.0
882,337,0.0,0.0
884,338,0.0,0.0
889,339,0.0,0.0
890,340,15.0,0.0
891,341,0.0,0.0
894,342,11.0,0.0
896,343,7.0,0.0
898,344,17.0,13.462200164794922
902,345,0.0,0.0
903,346,17.0,0.0
907,347,13.0,0.0
911,348,21.0,0.0
912,349,15.0,0.0
914,350,2.0,0.0
919,351,0.0,0.0
920,352,3.0,0.0
925,353,0.0,0.0
926,354,26.0,0.0
929,355,0.0,0.0
931,356,12.0,0.0
933,357,12.0,0.0
935,358,18.0,0.0
940,359,0.0,0.0
944,360,0.0,0.0
946,361,17.0,0.0
950,362,6.0,0.0
955,363,15.0,0.0
957,364,14.0,0.0
958,365,16.0,0.0
960,366,0.0,0.0
963,367,10.0,0.0
964,368,15.0,0.0
966,369,7.0,0.0
971,370,15.0,0.0
974,371,15.0,0.0
976,372,17.0,0.0
979,373,10.0,0.0
982,374,26.0,0.0
984,375,0.0,0.0
988,376,14.0,0.0
991,377,10.0,0.0
992,378,0.0,0.0
993,379,0.0,0.0
998,380,0.0,0.0
1002,381,8.0,0.0
1005,382,11.0,0.0
1006,383,11.0,0.0
1008,384,0.0,0.0
1010,385,20.0,0.0
1013,386,5.0,0.0
1014,387,10.0,0.0
1016,388,0.0,0.0
1018,389,15.0,0.0
1023,390,0.0,0.0
1025,391,16.0,9.356289863586426
1026,392,13.0,0.0
1028,393,13.0,0.0
1030,394,12.0,0.0
1032,395,6.0,0.0
1033,396,0.0,0.0
1035,397,16.0,0.0
1037,398,4.0,0.0
1040,399,0.0,0.0
1041,400,10.0,0.0
1044,401,19.0,0.0
1045,402,10.0,0.0
1047,403,0.0,0.0
1052,404,0.0,0.0
1054,405,0.0,0.0
1056,406,0.0,0.0
1059,407,13.0,0.0
1060,408,0.0,0.0
1063,409,9.0,0.0
1065,410,14.0,0.0
1067,411,0.0,0.0
1070,412,0.0,0.0
1072,413,20.0,0.0
1073,414,20.0,0.0
1074,415,0.0,0.0
1075,416,0.0,0.0
1076,417,18.0,0.0
1078,418,16.0,0.0
1083,419,0.0,0.0
1085,420,12.0,0.0
1086,421,0.0,0.0
1088,422,15.0,0.0
1089,423,0.0,0.0
1091,424,4.0,0.0
1094,425,4.0,0.0
1096,426,8.0,0.0
1097,427,11.0,0.0
1099,428,0.0,0.0
1100,429,11.0,0.0
1101,430,24.0,0.0
1103,431,0.0,0.0
1104,432,0.0,0.0
1105,433,7.0,0.0
1106,434,0.0,0.0
1107,435,0.0,0.0
1109,436,0.0,0.0
1110,437,3.0,0.0
1111,438,21.0,0.0
1113,439,21.0,0.0
1114,440,15.0,0.0
1117,441,19.0,0.0
1118,442,10.0,0.0
1122,443,22.0,0.0
1123,444,20.0,0.0
1124,445,16.0,0.0
1126,446,15.0,0.0
1128,447,13.0,0.0
1129,448,0.0,0.0
1130,449,12.0,0.0
1134,450,0.0,0.0
1137,451,0.0,0.0
1138,452,26.0,0.0
1139,453,6.0,0.0
1142,454,16.0,0.0
1147,455,15.0,0.0
1152,456,0.0,0.0
1153,457,0.0,15.076498031616211
1157,458,12.0,0.0
1158,459,12.0,0.0
1159,460,9.0,0.0
1161,461,19.0,0.0
1162,462,10.0,0.0
1164,463,21.0,0.0
1165,464,10.0,0.0
1168,465,12.0,0.0
1170,466,10.0,0.0
1171,467,11.0,0.0
1172,468,25.0,0.0
1175,469,5.0,0.0
1176,470,0.0,0.0
1178,471,16.0,0.0
1179,472,7.0,0.0
1180,473,4.0,0.0
1181,474,13.0,0.0
