step,episode,return,loss
4,1,0.0,0.02197301760315895
9,2,0.0,0.03450232744216919
14,3,0.0,0.029803643003106117
17,4,4.0,0.02746795490384102
20,5,24.0,0.02671804465353489
23,6,0.0,0.015042842365801334
28,7,0.0,0.04164864495396614
33,8,0.0,0.02368643879890442
36,9,10.0,0.013966324739158154
41,10,0.0,0.02300340309739113
46,11,0.0,0.02542766183614731
50,12,18.0,0.02885827235877514
55,13,0.0,0.01822749339044094
56,14,0.0,0.02179858088493347
61,15,0.0,0.023772696033120155
62,16,20.0,0.01787474937736988
64,17,24.0,0.03259066492319107
69,18,22.0,0.019451171159744263
72,19,7.0,0.013266650959849358
75,20,0.0,0.017178850248456
78,21,14.0,0.03234632685780525
81,22,10.0,0.02460910566151142
83,23,0.0,0.014977145940065384
88,24,0.0,0.02794043719768524
89,25,0.0,0.019855450838804245
90,26,18.0,0.016564922407269478
92,27,6.0,0.013450921513140202
93,28,5.0,0.01635494828224182
98,29,0.0,0.024004649370908737
101,30,0.0,0.014366543851792812
103,31,21.0,0.03282880783081055
107,32,10.0,0.028136320412158966
110,33,10.0,0.022735102102160454
115,34,0.0,0.017520291730761528
119,35,0.0,0.032154761254787445
121,36,0.0,0.019501185044646263
124,37,21.0,0.024465031921863556
126,38,9.0,0.014300399459898472
127,39,14.0,0.016700970008969307
130,40,10.0,0.02318979986011982
131,41,2.0,0.014796352945268154
132,42,14.0,0.015743790194392204
137,43,0.0,0.026760026812553406
139,44,16.0,0.01270449347794056
144,45,0.0,0.02810649387538433
147,46,0.0,0.013973363675177097
151,47,8.0,0.013214604929089546
153,48,12.0,0.03394763916730881
154,49,0.0,0.021566104143857956
159,50,15.0,0.030825218185782433
161,51,16.0,0.011600034311413765
164,52,0.0,0.020864393562078476
166,53,0.0,0.016088271513581276
169,54,12.0,0.012086575850844383
170,55,0.0,0.018971417099237442
172,56,12.0,0.033510271459817886
174,57,15.0,0.012039351277053356
176,58,0.0,0.022239789366722107
181,59,0.0,0.028664827346801758
183,60,0.0,0.044247131794691086
186,61,3.0,0.02730453759431839
188,62,14.0,0.013020479120314121
193,63,0.0,0.025541748851537704
194,64,0.0,0.01754290796816349
197,65,14.0,0.043029557913541794
202,66,0.0,0.023305876180529594
204,67,8.0,0.023167528212070465
209,68,0.0,0.025248412042856216
214,69,0.0,0.03597895801067352
217,70,13.0,0.021134400740265846
221,71,19.0,0.023551179096102715
223,72,0.0,0.026672620326280594
224,73,0.0,0.01714431494474411
228,74,24.0,0.020252248272299767
229,75,0.0,0.01753043569624424
231,76,12.0,0.012174347415566444
233,77,0.0,0.01472980435937643
236,78,11.0,0.013133370317518711
241,79,0.0,0.03391314670443535
244,80,0.0,0.0337846539914608
246,81,10.0,0.01296212151646614
247,82,5.0,0.014058343134820461
248,83,18.0,0.01367179211229086
253,84,0.0,0.03289254009723663
257,85,0.0,0.029692891985177994
258,86,18.0,0.013953172601759434
261,87,0.0,0.018000055104494095
264,88,7.0,0.019893759861588478
265,89,14.0,0.013090424239635468
269,90,15.0,0.03201686218380928
273,91,0.0,0.02996557205915451
275,92,0.0,0.03103073127567768
277,93,0.0,0.014346840791404247
281,94,13.0,0.019507739692926407
286,95,0.0,0.028496872633695602
290,96,0.0,0.028818650171160698
292,97,7.0,0.011890516616404057
297,98,0.0,0.028302740305662155
299,99,0.0,0.01634729653596878
301,100,0.0,0.023992318660020828
302,101,0.0,0.017311858013272285
303,102,0.0,0.015451706014573574
304,103,17.0,0.013065417297184467
306,104,0.0,0.027376851066946983
308,105,18.0,0.011538400314748287
312,106,0.0,0.014616237953305244
313,107,0.0,0.01692088507115841
315,108,0.0,0.015668706968426704
317,109,18.0,0.025208529084920883
318,110,9.0,0.01307431049644947
322,111,0.0,0.018613219261169434
327,112,0.0,0.035600125789642334
330,113,12.0,0.024263925850391388
333,114,12.0,0.011859843507409096
334,115,0.0,0.015137801878154278
337,116,13.0,0.021339498460292816
338,117,9.0,0.01155585702508688
339,118,0.0,0.018045205622911453
340,119,0.0,0.018367648124694824
344,120,21.0,0.021764913573861122
345,121,0.0,0.0143169816583395
347,122,0.0,0.03348029777407646
349,123,0.0,0.01480424590408802
354,124,15.0,0.030504673719406128
355,125,22.0,0.011103474535048008
358,126,13.0,0.02136039175093174
360,127,16.0,0.013423771597445011
361,128,0.0,0.01823081076145172
362,129,12.0,0.011388473212718964
363,130,12.0,0.012752432376146317
368,131,0.0,0.04815107583999634
371,132,0.0,0.023714296519756317
372,133,1.0,0.01314017828553915
374,134,20.0,0.010397485457360744
375,135,0.0,0.017013460397720337
377,136,20.0,0.009766535833477974
382,137,3.0,0.02565133199095726
387,138,0.0,0.049039147794246674
392,139,15.0,0.019291801378130913
393,140,17.0,0.010949525982141495
398,141,4.0,0.02247737906873226
399,142,0.0,0.013646232895553112
400,143,0.0,0.013983219861984253
