update,policy_loss,value_loss,entropy,steps
0,0.02197301760315895,nan,0.0,4
1,0.03450232744216919,nan,0.0,9
2,0.029803643003106117,nan,0.0,14
3,0.02746795490384102,nan,0.0,17
4,0.02671804465353489,nan,0.0,20
5,0.015042842365801334,nan,0.0,23
6,0.04164864495396614,nan,0.0,28
7,0.02368643879890442,nan,0.0,33
8,0.013966324739158154,nan,0.0,36
9,0.02300340309739113,nan,0.0,41
10,0.02542766183614731,nan,0.0,46
11,0.02885827235877514,nan,0.0,50
12,0.01822749339044094,nan,0.0,55
13,0.02179858088493347,nan,0.0,56
14,0.023772696033120155,nan,0.0,61
15,0.01787474937736988,nan,0.0,62
16,0.03259066492319107,nan,0.0,64
17,0.019451171159744263,nan,0.0,69
18,0.013266650959849358,nan,0.0,72
19,0.017178850248456,nan,0.0,75
20,0.03234632685780525,nan,0.0,78
21,0.02460910566151142,nan,0.0,81
22,0.014977145940065384,nan,0.0,83
23,0.02794043719768524,nan,0.0,88
24,0.019855450838804245,nan,0.0,89
25,0.016564922407269478,nan,0.0,90
26,0.013450921513140202,nan,0.0,92
27,0.01635494828224182,nan,0.0,93
28,0.024004649370908737,nan,0.0,98
29,0.014366543851792812,nan,0.0,101
30,0.03282880783081055,nan,0.0,103
31,0.028136320412158966,nan,0.0,107
32,0.022735102102160454,nan,0.0,110
33,0.017520291730761528,nan,0.0,115
34,0.032154761254787445,nan,0.0,119
35,0.019501185044646263,nan,0.0,121
36,0.024465031921863556,nan,0.0,124
37,0.014300399459898472,nan,0.0,126
38,0.016700970008969307,nan,0.0,127
39,0.02318979986011982,nan,0.0,130
40,0.014796352945268154,nan,0.0,131
41,0.015743790194392204,nan,0.0,132
42,0.026760026812553406,nan,0.0,137
43,0.01270449347794056,nan,0.0,139
44,0.02810649387538433,nan,0.0,144
45,0.013973363675177097,nan,0.0,147
46,0.013214604929089546,nan,0.0,151
47,0.03394763916730881,nan,0.0,153
48,0.021566104143857956,nan,0.0,154
49,0.030825218185782433,nan,0.0,159
50,0.011600034311413765,nan,0.0,161
51,0.020864393562078476,nan,0.0,164
52,0.016088271513581276,nan,0.0,166
53,0.012086575850844383,nan,0.0,169
54,0.018971417099237442,nan,0.0,170
55,0.033510271459817886,nan,0.0,172
56,0.012039351277053356,nan,0.0,174
57,0.022239789366722107,nan,0.0,176
58,0.028664827346801758,nan,0.0,181
59,0.044247131794691086,nan,0.0,183
60,0.02730453759431839,nan,0.0,186
61,0.013020479120314121,nan,0.0,188
62,0.025541748851537704,nan,0.0,193
63,0.01754290796816349,nan,0.0,194
64,0.043029557913541794,nan,0.0,197
65,0.023305876180529594,nan,0.0,202
66,0.023167528212070465,nan,0.0,204
67,0.025248412042856216,nan,0.0,209
68,0.03597895801067352,nan,0.0,214
69,0.021134400740265846,nan,0.0,217
70,0.023551179096102715,nan,0.0,221
71,0.026672620326280594,nan,0.0,223
72,0.01714431494474411,nan,0.0,224
73,0.020252248272299767,nan,0.0,228
74,0.01753043569624424,nan,0.0,229
