update,policy_loss,value_loss,entropy,steps
0,0.03913775458931923,nan,0.0,3
1,0.01379502285271883,nan,0.0,4
2,0.012429861351847649,nan,0.0,5
3,0.0189789067953825,nan,0.0,7
4,0.035967424511909485,nan,0.0,11
5,0.013342125341296196,nan,0.0,12
6,0.011782318353652954,nan,0.0,13
7,0.019490625709295273,nan,0.0,15
8,0.021733524277806282,nan,0.0,17
9,0.032367754727602005,nan,0.0,19
10,0.02277861349284649,nan,0.0,24
11,0.02317541278898716,nan,0.0,26
12,0.027203870937228203,nan,0.0,31
13,0.026827238500118256,nan,0.0,34
14,0.01128799095749855,nan,0.0,35
15,0.014274019747972488,nan,0.0,36
16,0.010881898924708366,nan,0.0,37
17,0.04047971963882446,nan,0.0,41
18,0.0326007716357708,nan,0.0,45
19,0.011987035162746906,nan,0.0,46
20,0.04205476492643356,nan,0.0,50
21,0.03455336019396782,nan,0.0,52
22,0.01934695616364479,nan,0.0,54
23,0.015667974948883057,nan,0.0,55
24,0.026544863358139992,nan,0.0,58
25,0.012869498692452908,nan,0.0,59
26,0.0267825685441494,nan,0.0,61
27,0.03852607682347298,nan,0.0,64
28,0.0359363853931427,nan,0.0,67
29,0.03739660605788231,nan,0.0,70
30,0.043135181069374084,nan,0.0,75
31,0.026021936908364296,nan,0.0,78
32,0.02893921732902527,nan,0.0,83
33,0.018659215420484543,nan,0.0,85
34,0.009779955260455608,nan,0.0,86
35,0.02887330763041973,nan,0.0,91
36,0.015511173754930496,nan,0.0,92
37,0.014021794311702251,nan,0.0,93
38,0.012332380749285221,nan,0.0,94
39,0.010232746601104736,nan,0.0,95
40,0.013687931932508945,nan,0.0,96
41,0.011484441347420216,nan,0.0,97
42,0.036530185490846634,nan,0.0,101
43,0.021975422278046608,nan,0.0,104
44,0.011060020886361599,nan,0.0,105
45,0.02497146464884281,nan,0.0,107
46,0.013822807930409908,nan,0.0,108
47,0.011046180501580238,nan,0.0,109
48,0.014464383944869041,nan,0.0,110
49,0.01592220924794674,nan,0.0,111
50,0.011011100374162197,nan,0.0,112
51,0.01454823836684227,nan,0.0,113
52,0.010463356971740723,nan,0.0,114
