step,episode,return,loss
4,1,11.0,0.022998588159680367
9,2,0.0,0.04019525274634361
11,3,8.0,0.015300501137971878
13,4,10.0,0.0168286319822073
14,5,5.0,0.0173247829079628
15,6,0.0,0.01417458150535822
17,7,9.0,0.013876461423933506
20,8,0.0,0.01442735269665718
22,9,18.0,0.015297643840312958
23,10,0.0,0.015572120435535908
25,11,0.0,0.02798442728817463
26,12,14.0,0.016410324722528458
28,13,15.0,0.014878015033900738
29,14,0.0,0.012971538119018078
30,15,0.0,0.014794871211051941
34,16,0.0,0.013721837662160397
37,17,0.0,0.038653451949357986
39,18,23.0,0.03777148574590683
40,19,0.0,0.010208678431808949
43,20,0.0,0.01849227212369442
45,21,0.0,0.012914466671645641
46,22,0.0,0.013332800939679146
49,23,0.0,0.02354970946907997
51,24,18.0,0.014254736714065075
53,25,0.0,0.012934694066643715
54,26,17.0,0.01483624055981636
55,27,0.0,0.011805262416601181
57,28,18.0,0.013275930657982826
60,29,0.0,0.046130046248435974
62,30,0.0,0.01303299143910408
64,31,0.0,0.03316425159573555
65,32,0.0,0.010017876513302326
66,33,9.0,0.01526482030749321
67,34,0.0,0.017293665558099747
72,35,8.0,0.030734995380043983
73,36,0.0,0.011961163021624088
74,37,0.0,0.010860231705009937
75,38,0.0,0.011281813494861126
76,39,0.0,0.009695006534457207
77,40,9.0,0.014414849691092968
78,41,2.0,0.014364108443260193
79,42,3.0,0.014556651003658772
82,43,0.0,0.03808183968067169
86,44,0.0,0.030878327786922455
87,45,0.0,0.008957074023783207
89,46,0.0,0.02168721705675125
90,47,15.0,0.013974098488688469
92,48,0.0,0.014459989033639431
94,49,13.0,0.029462890699505806
95,50,16.0,0.01302244607359171
100,51,0.0,0.022710880264639854
101,52,0.0,0.01369453128427267
102,53,12.0,0.015015563927590847
107,54,0.0,0.02445627935230732
109,55,0.0,0.02912226691842079
110,56,1.0,0.01426153164356947
115,57,0.0,0.044728439301252365
116,58,0.0,0.012857917696237564
117,59,0.0,0.007127088960260153
118,60,0.0,0.01083753164857626
119,61,0.0,0.00792238675057888
123,62,0.0,0.02262427844107151
126,63,0.0,0.01759972609579563
127,64,0.0,0.009645226411521435
129,65,0.0,0.026999810710549355
131,66,0.0,0.025854606181383133
132,67,12.0,0.013251353055238724
136,68,2.0,0.024577267467975616
138,69,0.0,0.021066363900899887
139,70,0.0,0.007766570895910263
140,71,15.0,0.013082343153655529
141,72,21.0,0.013666162267327309
146,73,0.0,0.020835844799876213
147,74,11.0,0.011426378972828388
148,75,26.0,0.012613872066140175
150,76,0.0,0.03766108304262161
151,77,0.0,0.00675980793312192
152,78,0.0,0.0070908828638494015
155,79,14.0,0.023961897939443588
156,80,0.0,0.013008837588131428
157,81,0.0,0.008594517596065998
158,82,0.0,0.010685043409466743
159,83,0.0,0.012355380691587925
163,84,0.0,0.03710107132792473
166,85,17.0,0.01979116164147854
167,86,0.0,0.005104920361191034
169,87,0.0,0.03281773254275322
171,88,0.0,0.01628989353775978
172,89,8.0,0.012403745204210281
173,90,8.0,0.011845435947179794
174,91,0.0,0.010181620717048645
175,92,0.0,0.012497857213020325
176,93,0.0,0.008279075846076012
177,94,0.0,0.005996454041451216
178,95,25.0,0.011270367540419102
179,96,0.0,0.009434356354176998
180,97,11.0,0.010694351978600025
181,98,0.0,0.011285192333161831
185,99,0.0,0.025962701067328453
187,100,14.0,0.025035738945007324
188,101,0.0,0.0058908769860863686
191,102,0.0,0.030087482184171677
193,103,16.0,0.030805010348558426
194,104,0.0,0.005056026857346296
196,105,0.0,0.03112422674894333
198,106,0.0,0.013660130091011524
199,107,0.0,0.0041899667121469975
201,108,0.0,0.030629698187112808
204,109,0.0,0.029131194576621056
205,110,0.0,0.007947875186800957
206,111,0.0,0.012543339282274246
208,112,0.0,0.03032095357775688
209,113,0.0,0.005953396204859018
210,114,0.0,0.009058155119419098
212,115,12.0,0.032835107296705246
213,116,0.0,0.004958813078701496
215,117,9.0,0.027951005846261978
217,118,0.0,0.013922692276537418
218,119,3.0,0.01040641125291586
221,120,13.0,0.027521586045622826
223,121,0.0,0.01761818118393421
224,122,0.0,0.008369605988264084
225,123,0.0,0.008121226914227009
226,124,0.0,0.005600703880190849
227,125,0.0,0.008874358609318733
228,126,0.0,0.0033995937556028366
230,127,0.0,0.03200338035821915
231,128,0.0,0.0074372864328324795
232,129,0.0,0.0030850290786474943
235,130,14.0,0.051494646817445755
236,131,0.0,0.007187361363321543
237,132,0.0,0.003913346212357283
238,133,0.0,0.003648451529443264
239,134,0.0,0.007037995848804712
241,135,0.0,0.014983085915446281
242,136,0.0,0.0030363821424543858
246,137,0.0,0.030568746849894524
247,138,0.0,0.004176123067736626
252,139,19.0,0.041096437722444534
253,140,0.0,0.003286380786448717
254,141,0.0,0.008056331425905228
255,142,0.0,0.0037713192868977785
256,143,0.0,0.004691104870289564
257,144,13.0,0.01127300038933754
258,145,0.0,0.003664406482130289
259,146,0.0,0.004035803023725748
260,147,0.0,0.0062196990475058556
261,148,23.0,0.013909323140978813
262,149,20.0,0.014313954859972
263,150,3.0,0.011440400965511799
266,151,7.0,0.021825650706887245
267,152,0.0,0.004808580037206411
269,153,0.0,0.03066793829202652
271,154,0.0,0.030954748392105103
273,155,0.0,0.025325246155261993
275,156,0.0,0.03026599809527397
276,157,10.0,0.014257517643272877
277,158,0.0,0.002506671007722616
278,159,0.0,0.004797098692506552
279,160,0.0,0.007475089747458696
280,161,0.0,0.0032727920915931463
281,162,15.0,0.011970636434853077
282,163,12.0,0.010743049904704094
283,164,0.0,0.0025386654306203127
285,165,0.0,0.03907473757863045
286,166,0.0,0.00836312398314476
287,167,0.0,0.003273715963587165
290,168,0.0,0.02354123815894127
292,169,0.0,0.014423434622585773
293,170,15.0,0.010970008559525013
295,171,0.0,0.027005039155483246
296,172,6.0,0.009842210449278355
297,173,10.0,0.010015327483415604
298,174,4.0,0.011660137213766575
299,175,3.0,0.011674334295094013
302,176,0.0,0.03107033669948578
303,177,0.0,0.0032905268017202616
304,178,0.0,0.00259515643119812
305,179,0.0,0.0044248891063034534
306,180,0.0,0.006934004835784435
308,181,0.0,0.017301438376307487
309,182,0.0,0.005827810615301132
310,183,11.0,0.010967965237796307
311,184,0.0,0.003914080560207367
312,185,0.0,0.007238274440169334
313,186,16.0,0.00964259821921587
315,187,0.0,0.027090642601251602
316,188,0.0,0.00837785191833973
317,189,13.0,0.009131346829235554
318,190,0.0,0.002859530271962285
320,191,0.0,0.016711542382836342
321,192,0.0,0.007114882115274668
322,193,0.0,0.0023583697620779276
323,194,0.0,0.009187883697450161
325,195,12.0,0.04207603260874748
326,196,0.0,0.006650198716670275
327,197,0.0,0.005677834618836641
329,198,12.0,0.021676355972886086
330,199,0.0,0.0023425661493092775
331,200,0.0,0.0033735285978764296
332,201,20.0,0.010204809717833996
333,202,0.0,0.002815941581502557
334,203,0.0,0.008008698932826519
337,204,0.0,0.02450927533209324
338,205,0.0,0.003546949476003647
339,206,0.0,0.0023965691216289997
340,207,0.0,0.005663107614964247
341,208,0.0,0.001722986693494022
342,209,0.0,0.0022207272704690695
345,210,11.0,0.030429556965827942
346,211,0.0,0.001573319430463016
347,212,0.0,0.005856831092387438
348,213,0.0,0.002613328630104661
349,214,13.0,0.010340404696762562
350,215,0.0,0.003253816394135356
351,216,0.0,0.001301946584135294
353,217,10.0,0.030849330127239227
354,218,0.0,0.002231036312878132
355,219,8.0,0.011744880117475986
356,220,0.0,0.00504045095294714
357,221,0.0,0.0062370942905545235
358,222,0.0,0.0023977397941052914
360,223,0.0,0.022982627153396606
361,224,16.0,0.013213379308581352
362,225,0.0,0.002069770125672221
363,226,0.0,0.001934920554049313
364,227,0.0,0.0022169111762195826
365,228,0.0,0.001372604281641543
366,229,0.0,0.0017871593590825796
367,230,0.0,0.0023267173673957586
369,231,0.0,0.0249117873609066
370,232,0.0,0.0027242456562817097
371,233,15.0,0.009560023434460163
372,234,0.0,0.007753903511911631
373,235,11.0,0.01197393611073494
374,236,0.0,0.004966533277183771
375,237,0.0,0.0017583154840394855
376,238,25.0,0.011212281882762909
377,239,0.0,0.001509578200057149
378,240,0.0,0.0022884260397404432
379,241,0.0,0.0013364851474761963
380,242,7.0,0.011706030927598476
381,243,0.0,0.0010062790242955089
382,244,0.0,0.0018819557735696435
383,245,0.0,0.0013231360353529453
385,246,0.0,0.03606050834059715
386,247,10.0,0.012048580683767796
387,248,17.0,0.011108078993856907
388,249,0.0,0.001102567883208394
390,250,0.0,0.02108999714255333
391,251,0.0,0.0010416960576549172
392,252,0.0,0.001657926943153143
393,253,0.0,0.0007476306054741144
394,254,0.0,0.0010234593646600842
395,255,0.0,0.006649055518209934
396,256,8.0,0.010995077900588512
397,257,0.0,0.005961456336081028
398,258,0.0,0.00208843220025301
399,259,0.0,0.0007505798130296171
400,260,0.0,0.0015959071461111307
401,261,17.0,0.007203905377537012
402,262,0.0,0.0012613284634426236
404,263,14.0,0.023133575916290283
405,264,0.0,0.0018068145727738738
407,265,10.0,0.03143591433763504
408,266,0.0,0.0012351691257208586
409,267,4.0,0.008107632398605347
410,268,0.0,0.008376128040254116
411,269,0.0,0.001505125779658556
412,270,0.0,0.0020243620965629816
413,271,0.0,0.0018328737933188677
414,272,0.0,0.002057828940451145
415,273,0.0,0.0012780630495399237
416,274,0.0,0.0017235076520591974
417,275,0.0,0.0008663689950481057
418,276,0.0,0.0010961865773424506
419,277,0.0,0.0012765765422955155
421,278,0.0,0.02949696034193039
422,279,0.0,0.0012324666604399681
423,280,0.0,0.0010316276457160711
425,281,10.0,0.021523861214518547
426,282,15.0,0.008541052229702473
427,283,0.0,0.002235699910670519
428,284,0.0,0.0019517242908477783
429,285,10.0,0.006317601073533297
430,286,11.0,0.007758119143545628
431,287,9.0,0.008344554342329502
432,288,26.0,0.005815248470753431
433,289,0.0,0.0011843538377434015
434,290,0.0,0.001044898061081767
435,291,0.0,0.0013443350326269865
436,292,0.0,0.008908658288419247
437,293,0.0,0.0008027303265407681
438,294,7.0,0.008253609761595726
439,295,0.0,0.0015859329141676426
440,296,0.0,0.0009886276675388217
441,297,22.0,0.0061013889499008656
442,298,0.0,0.0007052778964862227
443,299,2.0,0.006393840070813894
444,300,0.0,0.009916884824633598
445,301,25.0,0.0043334197252988815
446,302,0.0,0.0017865120898932219
448,303,0.0,0.01936035230755806
449,304,0.0,0.001948038348928094
450,305,19.0,0.005249285604804754
451,306,0.0,0.001089819590561092
452,307,15.0,0.005251004360616207
453,308,8.0,0.003928267862647772
454,309,0.0,0.010361977852880955
455,310,0.0,0.010173494927585125
456,311,0.0,0.0012538062874227762
458,312,0.0,0.024393176659941673
459,313,0.0,0.009273236617445946
461,314,9.0,0.01951015181839466
462,315,11.0,0.00550904031842947
463,316,0.0,0.0007107830024324358
464,317,0.0,0.0005927860620431602
465,318,0.0,0.009436008520424366
466,319,15.0,0.00450178375467658
467,320,0.0,0.0007330453372560441
468,321,7.0,0.0049014827236533165
469,322,10.0,0.006013961974531412
470,323,0.0,0.011073212139308453
471,324,0.0,0.001182696782052517
472,325,0.0,0.0010293376399204135
473,326,0.0,0.010299819521605968
474,327,0.0,0.0014869582373648882
476,328,13.0,0.03304096683859825
478,329,0.0,0.035048507153987885
479,330,0.0,0.001634244923479855
480,331,9.0,0.006458563730120659
481,332,0.0,0.009029718115925789
482,333,0.0,0.0005704903742298484
483,334,0.0,0.0016022252384573221
484,335,19.0,0.00581748690456152
485,336,0.0,0.0010726499604061246
486,337,11.0,0.006102955434471369
487,338,0.0,0.0006533455452881753
488,339,0.0,0.0007275628740899265
489,340,0.0,0.008460992015898228
490,341,0.0,0.001085759373381734
491,342,15.0,0.004405271727591753
492,343,0.0,0.009870842099189758
493,344,9.0,0.005402636248618364
494,345,0.0,0.0009113919804804027
495,346,0.0,0.0007459175540134311
496,347,0.0,0.0007632827619090676
497,348,10.0,0.007158337626606226
498,349,0.0,0.001143813133239746
499,350,0.0,0.001124821836128831
500,351,0.0,0.00925119873136282
501,352,20.0,0.0044184280559420586
502,353,8.0,0.0067417132668197155
503,354,0.0,0.0011561501305550337
504,355,0.0,0.0006557905580848455
505,356,0.0,0.0009043097379617393
506,357,18.0,0.0056411572732031345
507,358,0.0,0.0008048450690694153
508,359,18.0,0.0054387543350458145
509,360,0.0,0.011350792832672596
510,361,0.0,0.001194199314340949
